season,variable,week,metric,model,n_init,point,ci_lo,ci_hi
jfm,tp,3,crps,spire,90,0.7153209319320587,0.6590443489145479,0.7728661459895059
jfm,tp,3,crps,ukmo,90,0.8088659634950714,0.7129730303975532,0.910568049738091
jfm,tp,4,crps,ecmwf,90,0.6719391245219322,0.5757784109272175,0.7743572157855348
jfm,tp,4,crps,fuxi,90,0.7048023135382648,0.6037134567565542,0.814056959198014
jfm,tp,4,crps,ncep,90,0.7577466973107418,0.6550418061578317,0.8660585503941335
jfm,tp,4,crps,spire,90,0.7862249947151984,0.7334492503694799,0.8417633265013964
jfm,tp,4,crps,ukmo,90,0.7547697141155307,0.6717784003639115,0.8411412888264489
jfm,tp,5,crps,ecmwf,90,0.7732299660916157,0.6626185473610541,0.8905276840193667
jfm,tp,5,crps,fuxi,90,0.7832069513580565,0.6747008790495067,0.8991269018268272
jfm,tp,5,crps,ncep,90,0.8326869792899607,0.7243868373217061,0.9462855990272883
jfm,tp,5,crps,spire,90,0.8501965047368713,0.7906306138217474,0.9140080411264209
jfm,tp,5,crps,ukmo,90,0.8187126509255935,0.7336812001176949,0.9055591219190308
jfm,tp,6,crps,ecmwf,90,0.8588215462217499,0.748392637678365,0.9708724266279294
jfm,tp,6,crps,fuxi,90,0.8468200626433062,0.7383306348121503,0.9550098825638487
jfm,tp,6,crps,ncep,90,0.9591749306143638,0.8526787807527095,1.066595490240203
jfm,tp,6,crps,spire,90,0.9056878179383431,0.8475073130833896,0.9656817212766836
jfm,tp,6,crps,ukmo,90,0.916057031865452,0.8192995724734261,1.0161386023537782
jfm,tp,1,spread_skill_ratio,ecmwf,90,0.28901947065674927,0.25538780398015964,0.32425366566743247
jfm,tp,1,spread_skill_ratio,fuxi,90,0.11203636677620701,0.09873923029943907,0.126181894894486
jfm,tp,1,spread_skill_ratio,ncep,90,0.1671849795814654,0.14751383275124758,0.18796730455736604
jfm,tp,1,spread_skill_ratio,spire,90,0.6301355396822825,0.5771715388518973,0.6851689975838184
jfm,tp,1,spread_skill_ratio,ukmo,90,0.1822998385646729,0.16775259424560104,0.1976629023961358
jfm,tp,2,spread_skill_ratio,ecmwf,90,0.6063696608262527,0.5444943449718999,0.6695133093523287
jfm,tp,2,spread_skill_ratio,fuxi,90,0.24963400253863988,0.22341547462929054,0.276478046607736
jfm,tp,2,spread_skill_ratio,ncep,90,0.3749386049022585,0.3328381157368452,0.42026854798333213
