season,variable,week,metric,model_a,model_b,n_init,diff,ci_lo,ci_hi,p_value,significant_95
jfm,tp,1,rmse,ecmwf,fuxi,90,-0.05846085242547572,-0.10104032557246065,-0.015659140401473867,0.0062,True
jfm,tp,1,rmse,ecmwf,ncep,90,-0.30218766931504715,-0.3556876413174604,-0.24940453235552099,0.0,True
jfm,tp,1,rmse,ecmwf,spire,90,0.1785003306308448,0.12421874425889015,0.23668247803975614,0.0,True
jfm,tp,1,rmse,ecmwf,ukmo,90,-0.03634485183837133,-0.09582712811285389,0.021207744501436206,0.2258,False
jfm,tp,1,rmse,fuxi,ncep,90,-0.24372681688957143,-0.3119161355126372,-0.173809942864682,0.0,True
jfm,tp,1,rmse,fuxi,spire,90,0.23696118305632052,0.17229058681726692,0.3039445296467482,0.0,True
jfm,tp,1,rmse,fuxi,ukmo,90,0.02211600058710439,-0.0514698649706771,0.0921078575079371,0.5336,False
jfm,tp,1,rmse,ncep,spire,90,0.48068799994589195,0.39747117913553454,0.5699547565432501,0.0,True
jfm,tp,1,rmse,ncep,ukmo,90,0.2658428174766758,0.18606333113718698,0.3492367342615517,0.0,True
jfm,tp,1,rmse,spire,ukmo,90,-0.21484518246921613,-0.2841344542600178,-0.15123375733081112,0.0,True
jfm,tp,2,rmse,ecmwf,fuxi,90,-0.2386482566605692,-0.34601383202461644,-0.14256615699400244,0.0,True
jfm,tp,2,rmse,ecmwf,ncep,90,-0.344239340293653,-0.4428331455207846,-0.2508058722404625,0.0,True
jfm,tp,2,rmse,ecmwf,spire,90,0.14872948067001923,0.0798977712855247,0.2191338417222314,0.0002,True
jfm,tp,2,rmse,ecmwf,ukmo,90,-0.3126664704882536,-0.41287752660208255,-0.22012711301909652,0.0,True
jfm,tp,2,rmse,fuxi,ncep,90,-0.10559108363308378,-0.23850423736017465,0.033960270624042915,0.1302,False
jfm,tp,2,rmse,fuxi,spire,90,0.38737773733058845,0.2714591478604446,0.5099346967478086,0.0,True
jfm,tp,2,rmse,fuxi,ukmo,90,-0.07401821382768436,-0.21708086990573827,0.06916208801608782,0.2952,False
jfm,tp,2,rmse,ncep,spire,90,0.4929688209636722,0.3641651128381025,0.625940199054722,0.0,True
jfm,tp,2,rmse,ncep,ukmo,90,0.03157286980539942,-0.12069882435164392,0.18383696651838152,0.6846,False
jfm,tp,2,rmse,spire,ukmo,90,-0.4613959511582728,-0.5612613763828368,-0.3625259231512211,0.0,True
jfm,tp,3,rmse,ecmwf,fuxi,90,-0.030663282872801734,-0.08686600798220574,0.025965828263143222,0.2816,False
jfm,tp,3,rmse,ecmwf,ncep,90,-0.23481119520515037,-0.30651891267696346,-0.16561616850752958,0.0,True
jfm,tp,3,rmse,ecmwf,spire,90,0.2354946448894477,0.15152257318147708,0.32176353026788146,0.0,True
jfm,tp,3,rmse,ecmwf,ukmo,90,-0.2431894852268921,-0.40028214040048393,-0.09042933157650024,0.0016,True
jfm,tp,3,rmse,fuxi,ncep,90,-0.20414791233234864,-0.2948317081296786,-0.11563290394694886,0.0,True
jfm,tp,3,rmse,fuxi,spire,90,0.26615792776224945,0.18043147821354186,0.35267973709390954,0.0,True
jfm,tp,3,rmse,fuxi,ukmo,90,-0.21252620235409037,-0.3673310621606674,-0.05877164565553671,0.0066,True
jfm,tp,3,rmse,ncep,spire,90,0.4703058400945981,0.34017238470738453,0.6015932889031528,0.0,True
jfm,tp,3,rmse,ncep,ukmo,90,-0.00837829002174173,-0.1878552658620396,0.16985226423502142,0.9326,False
jfm,tp,3,rmse,spire,ukmo,90,-0.4786841301163398,-0.6194949375069374,-0.3480742283382868,0.0,True
jfm,tp,4,rmse,ecmwf,fuxi,90,0.06153463345576071,0.014751403259696936,0.10915099433784618,0.0114,True
jfm,tp,4,rmse,ecmwf,ncep,90,-0.14849741374303926,-0.23322494758312154,-0.0629814599205954,0.0006,True
jfm,tp,4,rmse,ecmwf,spire,90,0.2610757602434879,0.18642033733666905,0.3364324441738599,0.0,True
jfm,tp,4,rmse,ecmwf,ukmo,90,-2.8033171742603002e-05,-0.13556950602435386,0.1304294330321881,1.0,False
jfm,tp,4,rmse,fuxi,ncep,90,-0.21003204719879998,-0.29856921162388844,-0.12188467225064482,0.0,True
jfm,tp,4,rmse,fuxi,spire,90,0.19954112678772717,0.11156553147235586,0.28897189397569684,0.0,True
jfm,tp,4,rmse,fuxi,ukmo,90,-0.061562666627503315,-0.1981544997330015,0.0766133854834169,0.3616,False
jfm,tp,4,rmse,ncep,spire,90,0.40957317398652715,0.27721592309421006,0.5393403742703727,0.0,True
jfm,tp,4,rmse,ncep,ukmo,90,0.14846938057129666,-0.006403836466625779,0.2981149922477571,0.062,False
jfm,tp,4,rmse,spire,ukmo,90,-0.2611037934152305,-0.3767189498962132,-0.14673964406453077,0.0,True
jfm,tp,5,rmse,ecmwf,fuxi,90,0.058282385341385634,0.019860337277975582,0.09681764853612276,0.002,True
jfm,tp,5,rmse,ecmwf,ncep,90,-0.09445692746659518,-0.20156395681038644,0.006837687685339344,0.0674,False
jfm,tp,5,rmse,ecmwf,spire,90,0.25556713102492035,0.17434095792513774,0.3369000394550236,0.0,True
jfm,tp,5,rmse,ecmwf,ukmo,90,0.03818836335601761,-0.10283375520871262,0.17594184301026547,0.5828,False
jfm,tp,5,rmse,fuxi,ncep,90,-0.1527393128079808,-0.25478779058761125,-0.05689299275998057,0.0018,True
jfm,tp,5,rmse,fuxi,spire,90,0.1972847456835347,0.1100613177882972,0.2857127573848172,0.0,True
jfm,tp,5,rmse,fuxi,ukmo,90,-0.020094021985368027,-0.1596213428498932,0.11474884057721259,0.7812,False
jfm,tp,5,rmse,ncep,spire,90,0.3500240584915155,0.22423048123339312,0.4781528943699716,0.0,True
jfm,tp,5,rmse,ncep,ukmo,90,0.13264529082261278,-0.02544817146571245,0.2852927200129149,0.0982,False
jfm,tp,5,rmse,spire,ukmo,90,-0.21737876766890274,-0.3277149696935483,-0.11124942956087751,0.0,True
jfm,tp,6,rmse,ecmwf,fuxi,90,0.108223097521424,0.06900695009862401,0.14879992433948544,0.0,True
jfm,tp,6,rmse,ecmwf,ncep,90,-0.17311005729732498,-0.2717912181422133,-0.08228168412332668,0.0,True
jfm,tp,6,rmse,ecmwf,spire,90,0.2936318433611076,0.2171716449437922,0.37231683770254664,0.0,True
jfm,tp,6,rmse,ecmwf,ukmo,90,0.01851607492341545,-0.1317943546353156,0.16677922849607557,0.7988,False
jfm,tp,6,rmse,fuxi,ncep,90,-0.281333154818749,-0.38170786255580075,-0.18659301209910867,0.0,True
jfm,tp,6,rmse,fuxi,spire,90,0.1854087458396836,0.10235992100715016,0.26965124111256916,0.0,True
jfm,tp,6,rmse,fuxi,ukmo,90,-0.08970702259800856,-0.2431775377612484,0.062437224533039584,0.2452,False
jfm,tp,6,rmse,ncep,spire,90,0.4667419006584326,0.3585485253542885,0.575120392423003,0.0,True
jfm,tp,6,rmse,ncep,ukmo,90,0.19162613222074043,0.03840636158764057,0.34269018697137144,0.0114,True
jfm,tp,6,rmse,spire,ukmo,90,-0.27511576843769214,-0.41632749317823053,-0.14289515343594708,0.0,True
jfm,tp,1,bias,ecmwf,fuxi,90,-0.00627147965394631,-0.0780433312105257,0.05697749147491646,0.896,False
jfm,tp,1,bias,ecmwf,ncep,90,0.043571624020627,0.0031824078780548267,0.08417510351384763,0.0352,True
jfm,tp,1,bias,ecmwf,spire,90,-0.11000498042019707,-0.1536976259462123,-0.06744081174038098,0.0,True
jfm,tp,1,bias,ecmwf,ukmo,90,-0.1991595754246221,-0.2507062198212449,-0.14848039117866255,0.0,True
jfm,tp,1,bias,fuxi,ncep,90,0.049843103674573314,-0.01988834131049404,0.12442976272169479,0.1762,False
jfm,tp,1,bias,fuxi,spire,90,-0.10373350076625076,-0.14749525113307524,-0.057606926834827335,0.0,True
jfm,tp,1,bias,fuxi,ukmo,90,-0.19288809577067578,-0.25886837157118253,-0.12529289343280772,0.0,True
jfm,tp,1,bias,ncep,spire,90,-0.15357660444082408,-0.20909737359526143,-0.09918482038763747,0.0,True
jfm,tp,1,bias,ncep,ukmo,90,-0.2427311994452491,-0.3163980624906066,-0.16843527620091261,0.0,True
jfm,tp,1,bias,spire,ukmo,90,-0.08915459500442502,-0.14384598271938445,-0.03875195045430101,0.0002,True
jfm,tp,2,bias,ecmwf,fuxi,90,-0.09645780576055515,-0.2163481748923124,0.013551877852660625,0.0892,False
jfm,tp,2,bias,ecmwf,ncep,90,-0.017919373597009666,-0.09107943953851193,0.051708420255714475,0.6176,False
jfm,tp,2,bias,ecmwf,spire,90,-0.2156934508716498,-0.2679527269785953,-0.1658886448609176,0.0,True
jfm,tp,2,bias,ecmwf,ukmo,90,-0.30573009556633324,-0.3808402254141575,-0.2329633242430843,0.0,True
jfm,tp,2,bias,fuxi,ncep,90,0.07853843216354549,-0.04262608842936307,0.20501528469575633,0.2006,False
jfm,tp,2,bias,fuxi,spire,90,-0.11923564511109463,-0.21858589601577033,-0.012527617205523792,0.0264,True
jfm,tp,2,bias,fuxi,ukmo,90,-0.20927228980577806,-0.3350747034537409,-0.08304149412606546,0.0006,True
jfm,tp,2,bias,ncep,spire,90,-0.19777407727464014,-0.2753113290853073,-0.12140492962422383,0.0,True
jfm,tp,2,bias,ncep,ukmo,90,-0.28781072196932356,-0.3881489803519888,-0.18606145513917535,0.0,True
jfm,tp,2,bias,spire,ukmo,90,-0.09003664469468342,-0.17668554951994445,-0.0072237048047275165,0.0334,True
