experiment_id,model,product,year,initialization_count,expected_count,missing_expected_count,unexpected_count,first_initialization,last_initialization,variables,formats,member_counts,lead_days,file_statuses
physics/ncep_operational_2020_2025,ncep,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,surface,grib,1;15,42,"{""manifest_valid"": 210}"
physics/ncep_operational_2020_2025,ncep,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,surface,grib,1;15,42,"{""manifest_valid"": 208}"
physics/ncep_operational_2020_2025,ncep,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,surface,grib,1;15,42,"{""manifest_valid"": 208}"
physics/ncep_operational_2020_2025,ncep,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,surface,grib,1;15,42,"{""manifest_valid"": 208}"
physics/ncep_operational_2020_2025,ncep,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,surface,grib,1;15,42,"{""manifest_valid"": 200}"
physics/ncep_operational_2020_2025,ncep,operational_forecast,2025,104,104,0,0,2025-01-02,2025-12-29,surface,grib,1;15,42,"{""manifest_valid"": 208}"
physics/ukmo_operational_2020_2025,ukmo,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m;tp,grib,1;3,42,"{""manifest_valid"": 420}"
physics/ukmo_operational_2020_2025,ukmo,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
physics/ukmo_operational_2020_2025,ukmo,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
physics/ukmo_operational_2020_2025,ukmo,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
