season,variable,model,region,init_date,scale,lead,week,clim_basis,event,brier,brier_clim,briss_clim,base_rate
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.15774316242298453,0.11783783609151682,-0.3386461229691615,0.02018017494121705
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.19148493709368727,0.11111111111111113,-0.723364433843185,0.0
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.220760877270049,0.11245737864524295,-0.9630626280776053,0.004038802602395496
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.02397972970446741,0.11111111111111113,0.7841824326597934,0.0
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.005462654983806314,0.11111111111111113,0.9508361051457432,0.0
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,0.016155298616865457,0.11111111111111113,0.8546023124482109,0.0
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.08834391700191158,0.11783783609151682,0.25029243635040344,0.02018017494121705
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.14433341949659098,0.1128446179238586,-0.2790456660855489,0.0052005204382424
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.2255924808330532,0.13044848693566324,-0.7293606551704555,0.05801212747365638
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.17395208194893969,0.1136357287100648,-0.5307868741948993,0.00757385279686101
JFM2026,TP,SPIRE,All India,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.152291225095109,0.11111111111111113,-0.3706210258559808,0.0
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,0.03661553324862683,0.11111111111111113,0.6704602007623586,0.0
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.1312559710223604,0.11111111111111113,-0.18130373920124332,0.0
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.2057129572394351,0.11111111111111113,-0.8514166151549156,0.0
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.2266603880710063,0.11363442977558114,-0.9946453598494958,0.00756995599341006
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.24256870473345282,0.11237706589414778,-1.1585249873131365,0.003797864349110029
JFM2026,TP,SPIRE,central_india,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.2282890881876198,0.11111111111111113,-1.0546017936885779,0.0
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,6.01523737532372e-11,0.11111111111111113,0.9999999994586286,0.0
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.000590155034972467,0.11111111111111113,0.9946886046852478,0.0
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.01045457228904504,0.11111111111111113,0.9059088493985946,0.0
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.03248998997649318,0.11111111111111113,0.7075900902115615,0.0
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.05566255258555559,0.11111111111111113,0.49903702672999983,0.0
JFM2026,TP,SPIRE,east_northeast_india,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.04064735462440198,0.11111111111111113,0.6341738083803823,0.0
JFM2026,TP,SPIRE,northwest_india,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,0.0003660834251959586,0.11111111111111113,0.9967052491732363,0.0
JFM2026,TP,SPIRE,northwest_india,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.02452337942743545,0.11111111111111113,0.779289585153081,0.0
JFM2026,TP,SPIRE,northwest_india,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.11709510606563929,0.1128446179238586,-0.03766673342497118,0.0052005204382424
JFM2026,TP,SPIRE,northwest_india,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.3478381704328681,0.12657890073706138,-1.7479948744018725,0.046403368877850834
JFM2026,TP,SPIRE,northwest_india,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.14953760647957726,0.11236977392702811,-0.33076361421431333,0.003775988447750982
JFM2026,TP,SPIRE,northwest_india,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.13076668046879383,0.11111111111111113,-0.17690012421914436,0.0
JFM2026,TP,SPIRE,south_peninsula,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,0.0192782550304145,0.11111111111111113,0.8264957047262695,0.0
JFM2026,TP,SPIRE,south_peninsula,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.19207729904154858,0.11783783609151682,-0.6300138004263325,0.02018017494121705
JFM2026,TP,SPIRE,south_peninsula,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.18701197376042913,0.11111111111111113,-0.6831077638438618,0.0
JFM2026,TP,SPIRE,south_peninsula,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.16424656164620108,0.11245737864524295,-0.4605227653788002,0.004038802602395496
JFM2026,TP,SPIRE,south_peninsula,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.18585683580757306,0.11111111111111113,-0.6727115222681572,0.0
JFM2026,TP,SPIRE,south_peninsula,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.1402285954060476,0.11111111111111113,-0.26205735865442814,0.0
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,1,Week 1,era5,tp_below_normal,0.08198726750449147,0.13393942837031997,0.3878780244021165,0.06848495177762647
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,2,Week 2,era5,tp_below_normal,0.08081980542890557,0.13223974496461632,0.3888387681741923,0.06338590156051563
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,3,Week 3,era5,tp_below_normal,0.11768980763497126,0.13093086551046193,0.10113014852431912,0.05945926319805248
