season,variable,model,region,init_date,scale,lead,week,clim_basis,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,TP,ECMWF,All India,2026-01-01,daily,16,Week 3,era5,0.32894578030428745,0.6656365234739077,0.19289569637830495,0.5058177117632552,-0.705303884329086,1.200570446554425,0.5696269559785526,2.1076433163033603
JFM2026,TP,ECMWF,All India,2026-01-01,daily,17,Week 3,era5,0.31273582242099707,0.661528461605532,0.1991505715296234,0.5272526571842637,-0.5703486061775023,1.144004774238145,0.523706443155718,2.184438990944376
JFM2026,TP,ECMWF,All India,2026-01-01,daily,18,Week 3,era5,0.4761219006543125,0.6740159085867402,0.19000222226761154,0.29360435771815385,-1.5058754312026483,1.539117082337612,0.9085321933961944,1.694069944383832
JFM2026,TP,ECMWF,All India,2026-01-01,daily,19,Week 3,era5,0.4519983374722993,0.6515047008488376,0.12265214035517427,0.3062239813720513,-2.6852054612614924,1.6967329359353482,0.601266708739702,2.821930619594459
JFM2026,TP,ECMWF,All India,2026-01-01,daily,20,Week 3,era5,0.5152169991496959,0.6705975363107218,0.155150265393883,0.2317046048451784,-2.3207613138250487,1.8827527040582928,0.7272769740575257,2.5887698514010316
JFM2026,TP,ECMWF,All India,2026-01-01,daily,21,Week 3,era5,1.1216549848473578,1.3046582376306861,1.113756702488715,0.14026911225093697,-0.007091568868671239,2.042570006236311,3.5983519288859522,0.5676404216717873
JFM2026,TP,ECMWF,All India,2026-01-01,daily,22,Week 4,era5,3.4142891732703053,3.8167478153487977,4.1042082837538505,0.1054454372018061,0.16810041371792206,2.2803879075781994,10.891954877608276,0.20936442844307315
JFM2026,TP,ECMWF,All India,2026-01-01,daily,23,Week 4,era5,0.8436877274630732,0.8485784208138628,0.4380500205922183,0.005763395852205422,-0.9260077338255941,2.3007699420726406,2.479822543151391,0.9277962039770765
JFM2026,TP,ECMWF,All India,2026-01-01,daily,24,Week 4,era5,0.872552050334386,0.7852000193045188,0.2952987608426736,-0.11124812644202198,-1.954811079614573,2.518868540984802,2.1420469417992467,1.1759165925976571
JFM2026,TP,ECMWF,All India,2026-01-01,daily,25,Week 4,era5,0.8402569054769521,0.7074999456462927,0.44950008206608005,-0.18764236046603155,-0.8693142426466292,2.912285885561185,1.4373522480810212,2.0261462626501725
JFM2026,TP,ECMWF,All India,2026-01-01,daily,26,Week 4,era5,3.144636094778871,3.1636041057689117,3.5333862348030642,0.005995696792608141,0.11002197727355456,2.8157712867895035,8.064026187635182,0.34917685301010204
