method,season,year,model,week,n_cases,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,JFM,2024,FuXi-S2S,4,13,0.12587936876222783,0.1364534905640486,0.11975054128356645,-0.002945296914937292,0.230356502201298,1.7565735507888722,0.847854115235401,0.13871989067124824
common_imd_1991_2020,JFM,ALL,ERPAS,1,26,0.5278224243217932,0.6032015454669677,0.539618842216959,0.3265214226931825,0.773506876820252,1.0903614614881278,0.5288911934951799,0.07296752337401652
common_imd_1991_2020,JFM,ALL,ERPAS,2,26,0.36495414250878877,0.43907377582134216,0.4269843399432752,0.04325542049058749,0.6586945296179104,1.3567990789702746,0.7273402971427954,0.13019975842607734
common_imd_1991_2020,JFM,ALL,ERPAS,3,26,0.13240792433587367,0.1516335010110057,0.11899429071465217,-0.11296579547512366,0.43292570367321237,1.547198623494913,0.8316973047578895,0.11819487287260638
common_imd_1991_2020,JFM,ALL,ERPAS,4,26,0.02288685762851974,0.0373065615314515,-0.03107179800654273,-0.1757189564526833,0.12471667737972265,1.851203821666896,1.0144640476478064,0.20925323692559245
common_imd_1991_2020,JFM,ALL,FuXi-S2S,1,26,0.592507976834329,0.6753877752101733,0.5986685925118067,0.477287559975649,0.7218734321186108,1.0982665980216368,0.4687645445898285,0.019104619419865992
common_imd_1991_2020,JFM,ALL,FuXi-S2S,2,26,0.30306186524995254,0.32949052323920924,0.28092555896260585,0.14405519441398743,0.533540755636971,1.6223657955639463,0.767122909691306,0.0655293654565396
common_imd_1991_2020,JFM,ALL,FuXi-S2S,3,26,0.12557641488491533,0.14117459297979096,0.13551582241312488,-0.11969304341989839,0.35139319608715985,1.7039984208134802,0.845850516346341,0.08704735218490646
common_imd_1991_2020,JFM,ALL,FuXi-S2S,4,26,0.16579272781940319,0.19162470866368697,0.13563897315270212,0.0033505986356859303,0.3369511907152667,1.702769873495929,0.8626334095316182,0.013852225078045614
common_imd_1991_2020,JJAS,2023,ERPAS,1,17,0.48444503461761435,0.5031032015920529,0.45658318884099813,0.4015041981280877,0.6160120772686318,5.572490590705688,3.5498752108067,0.35455758087474953
common_imd_1991_2020,JJAS,2023,ERPAS,2,17,0.19144015130334005,0.20890984107389074,0.12694072781962956,0.07806507596666948,0.32562240616897065,6.621272922311624,4.73580670678403,1.3202892547818803
common_imd_1991_2020,JJAS,2023,ERPAS,3,17,0.09692592720085089,0.10411628089404655,0.029710657293211578,-0.07999257619515841,0.2736003982147843,6.482012857800561,4.8135836805329815,1.6798698563128285
