method,season,year,week,n_cases,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,MAM,2024,2,13,0.14679342070570675,0.26477579719082417,0.14183434198723058,0.2422212420536422,0.10038690006641163,0.11798237648511742
common_imd_1991_2020,MAM,2024,3,13,-0.09644666860402433,0.16190300335707317,-0.0935387370667633,0.15062996444972876,0.24416870151649206,0.2583496719610975
common_imd_1991_2020,MAM,2024,4,13,-0.08153742138923221,0.09688161592250008,-0.08501170893185675,0.09247105052877719,0.17748275946063394,0.1784190373117323
common_imd_1991_2020,MAM,ALL,1,27,0.48523465564439566,0.60287306013334,0.43340519873820077,0.542715338314746,0.10931013957654528,0.1176384044889443
common_imd_1991_2020,MAM,ALL,2,27,0.22702915085340303,0.31416495075227135,0.2039497512457136,0.28895245199239306,0.08500270074667945,0.08713579989886833
common_imd_1991_2020,MAM,ALL,3,27,-0.007608266119345503,0.20462933513794562,-0.007821783588733073,0.18964813069476635,0.19746991428349941,0.21223760125729113
common_imd_1991_2020,MAM,ALL,4,27,-0.04894534988679341,0.1255747223275015,-0.05011184920344669,0.11943669765140773,0.16954854685485443,0.1745200722142949
common_imd_1991_2020,OND,2023,1,13,0.6737789119393658,0.6405753203319408,0.6146020864918512,0.5463250661857942,-0.06827702030605698,-0.03320359160742503
common_imd_1991_2020,OND,2023,2,13,0.40024556699471675,0.4128038039955486,0.36890451290303383,0.3104409417795951,-0.05846357112343875,0.012558237000831862
common_imd_1991_2020,OND,2023,3,13,0.42463626578708813,0.2683158219112527,0.35804292407848853,0.1769120134049316,-0.18113091067355694,-0.15632044387583544
common_imd_1991_2020,OND,2023,4,13,0.3189430699759219,0.05727636638768947,0.27299586382776075,0.04374218418936674,-0.22925367963839402,-0.26166670358823246
common_imd_1991_2020,OND,2024,1,13,0.4693196939470997,0.4346026458520723,0.427340385474047,0.38339862135055225,-0.043941764123494764,-0.0347170480950274
common_imd_1991_2020,OND,2024,2,13,0.2977448155947784,0.16353761269813677,0.25921665596586885,0.15242210852069565,-0.1067945474451732,-0.13420720289664162
common_imd_1991_2020,OND,2024,3,13,0.267540327928562,0.09318068718318352,0.2181116782817489,0.0723278979918299,-0.145783780289919,-0.17435964074537852
common_imd_1991_2020,OND,2024,4,13,0.28185870707776217,0.16791343825387306,0.24091881160401385,0.14680871120912953,-0.09411010039488432,-0.11394526882388911
common_imd_1991_2020,OND,ALL,1,26,0.5806313992100752,0.5457813230462284,0.5209712359829491,0.4648618437681733,-0.056109392214775844,-0.03485007616384683
common_imd_1991_2020,OND,ALL,2,26,0.35004256379217275,0.29314439532966347,0.3140605844344514,0.23143152515014537,-0.08262905928430603,-0.05689816846250928
common_imd_1991_2020,OND,ALL,3,26,0.34853363950720545,0.1821928976653846,0.28807730118011865,0.12461995569838075,-0.1634573454817379,-0.16634074184182085
common_imd_1991_2020,OND,ALL,4,26,0.3005144619747525,0.11294498179545835,0.25695733771588725,0.09527544769924813,-0.16168189001663913,-0.18756948017929415
system_specific_jjas,ALL,2023,1,17,0.51426181766077,0.6063817029276817,0.4844967297428893,0.5914687816558798,0.10697205191299047,0.09211988526691173
system_specific_jjas,ALL,2023,2,17,0.14488952551848536,0.3828234336316356,0.12963983199665868,0.32439926129833624,0.19475942930167756,0.23793390811315027
system_specific_jjas,ALL,2023,3,17,0.03297413110573182,0.2796636202129479,0.027298508469498446,0.25701530346804546,0.22971679499854702,0.24668948910721605
system_specific_jjas,ALL,2023,4,17,-0.04299685851289348,0.20419726676904015,-0.03923087559360147,0.172333604735732,0.21156448032933348,0.24719412528193363
system_specific_jjas,ALL,2024,1,14,0.5503534202770407,0.5254091370520371,0.5222536546673093,0.5041741802787228,-0.01807947438858648,-0.02494428322500364
system_specific_jjas,ALL,2024,2,14,0.27927512378197417,0.3706162118227384,0.2721020263578651,0.3579067390954008,0.0858047127375357,0.09134108804076424
system_specific_jjas,ALL,2024,3,14,0.13312920409289336,0.22315138491947198,0.1249820418582186,0.21448018815392908,0.08949814629571048,0.09002218082657862
system_specific_jjas,ALL,2024,4,14,0.1841002350168562,0.22622704157361676,0.17717783298511391,0.2155325877013438,0.03835475471622987,0.04212680655676054
system_specific_jjas,ALL,ALL,1,31,0.5308009675708553,0.571170200981494,0.5015482442248856,0.5520454132920024,0.050497169067116765,0.040369233410638694
system_specific_jjas,ALL,ALL,2,31,0.20656872626897443,0.37732670353906694,0.19397759719204216,0.3395316706260427,0.14555407343400056,0.1707579772700925
system_specific_jjas,ALL,ALL,3,31,0.07840974616397528,0.2543550858457724,0.07141365258053334,0.23780589655199294,0.1663922439714596,0.1759453396817971
system_specific_jjas,ALL,ALL,4,31,0.06043372305832446,0.21417328338947303,0.05850208957097967,0.19184282284923407,0.1333407332782544,0.15373956033114858
system_specific_jjas,JJAS,2023,1,17,0.51426181766077,0.6063817029276817,0.4844967297428893,0.5914687816558798,0.10697205191299047,0.09211988526691173
system_specific_jjas,JJAS,2023,2,17,0.14488952551848536,0.3828234336316356,0.12963983199665868,0.32439926129833624,0.19475942930167756,0.23793390811315027
system_specific_jjas,JJAS,2023,3,17,0.03297413110573182,0.2796636202129479,0.027298508469498446,0.25701530346804546,0.22971679499854702,0.24668948910721605
system_specific_jjas,JJAS,2023,4,17,-0.04299685851289348,0.20419726676904015,-0.03923087559360147,0.172333604735732,0.21156448032933348,0.24719412528193363
system_specific_jjas,JJAS,2024,1,14,0.5503534202770407,0.5254091370520371,0.5222536546673093,0.5041741802787228,-0.01807947438858648,-0.02494428322500364
system_specific_jjas,JJAS,2024,2,14,0.27927512378197417,0.3706162118227384,0.2721020263578651,0.3579067390954008,0.0858047127375357,0.09134108804076424
system_specific_jjas,JJAS,2024,3,14,0.13312920409289336,0.22315138491947198,0.1249820418582186,0.21448018815392908,0.08949814629571048,0.09002218082657862
system_specific_jjas,JJAS,2024,4,14,0.1841002350168562,0.22622704157361676,0.17717783298511391,0.2155325877013438,0.03835475471622987,0.04212680655676054
system_specific_jjas,JJAS,ALL,1,31,0.5308009675708553,0.571170200981494,0.5015482442248856,0.5520454132920024,0.050497169067116765,0.040369233410638694
system_specific_jjas,JJAS,ALL,2,31,0.20656872626897443,0.37732670353906694,0.19397759719204216,0.3395316706260427,0.14555407343400056,0.1707579772700925
system_specific_jjas,JJAS,ALL,3,31,0.07840974616397528,0.2543550858457724,0.07141365258053334,0.23780589655199294,0.1663922439714596,0.1759453396817971
system_specific_jjas,JJAS,ALL,4,31,0.06043372305832446,0.21417328338947303,0.05850208957097967,0.19184282284923407,0.1333407332782544,0.15373956033114858
