method,season,year,region,week,n_cases,region_target_cells,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,ALL,2023,south_peninsula,1,52,38,0.712553704911603,0.6598609729324206,0.5560944910122767,0.521164139317354,-0.03493035169492276,-0.05269273197918234
common_imd_1991_2020,ALL,2023,south_peninsula,2,52,38,0.49883879655756364,0.5095909956905365,0.35376843963472493,0.34437839392826575,-0.009390045706459182,0.010752199132972817
common_imd_1991_2020,ALL,2023,south_peninsula,3,52,38,0.347958983519535,0.33242889178897195,0.2384398693426953,0.23900305936564895,0.0005631900229536579,-0.015530091730563078
common_imd_1991_2020,ALL,2023,south_peninsula,4,52,38,0.22555813978179828,0.33440043751655024,0.16983330363798646,0.24909930725984614,0.07926600362185968,0.10884229773475196
common_imd_1991_2020,ALL,2024,central_india,1,49,64,0.5833761111085224,0.5769945306213997,0.48270630953532956,0.48934846546409405,0.006642155928764493,-0.006381580487122673
common_imd_1991_2020,ALL,2024,central_india,2,49,64,0.37919687230098065,0.30344556354968155,0.2864723204459863,0.23071322862157023,-0.055759091824416074,-0.0757513087512991
common_imd_1991_2020,ALL,2024,central_india,3,49,64,0.28600939272391684,0.2572048913860602,0.21509437782643548,0.17514430805153033,-0.039950069774905145,-0.02880450133785667
common_imd_1991_2020,ALL,2024,central_india,4,49,64,0.29039456711697287,0.29747037010709,0.21046079996166106,0.23662502405969088,0.02616422409802982,0.007075802990117119
common_imd_1991_2020,ALL,2024,east_northeast_india,1,49,36,0.4283220490825584,0.38906530489210567,0.36525508568367077,0.3509483993543503,-0.014306686329320473,-0.03925674419045272
common_imd_1991_2020,ALL,2024,east_northeast_india,2,49,36,0.22971908775840152,0.20261126673337213,0.1929169304359287,0.17541468665348495,-0.01750224378244375,-0.0271078210250294
common_imd_1991_2020,ALL,2024,east_northeast_india,3,49,36,0.09646908380213864,0.06362605730379295,0.08197871184561324,0.06095496546754959,-0.021023746378063653,-0.032843026498345695
common_imd_1991_2020,ALL,2024,east_northeast_india,4,49,36,0.06368207009682078,0.028860388982812547,0.04948683673821487,0.028583718310685312,-0.02090311842752956,-0.034821681114008234
common_imd_1991_2020,ALL,2024,northwest_india,1,49,68,0.5793054594563013,0.6339204191608542,0.40628907276387904,0.45149557019680825,0.045206497432929205,0.05461495970455288
common_imd_1991_2020,ALL,2024,northwest_india,2,49,68,0.32348797966821774,0.44039620647317484,0.2155772692829255,0.35020884187624735,0.13463157259332184,0.1169082268049571
common_imd_1991_2020,ALL,2024,northwest_india,3,49,68,0.1353871373211575,0.2735382057470865,0.09396244215228611,0.21053536403971929,0.11657292188743318,0.13815106842592897
common_imd_1991_2020,ALL,2024,northwest_india,4,49,68,0.04192340916611722,0.24198761227297003,0.015714250943291985,0.19628965577475066,0.18057540483145867,0.2000642031068528
common_imd_1991_2020,ALL,2024,south_peninsula,1,49,38,0.5975069398287237,0.646952437885616,0.5189242254804672,0.5319702646380178,0.013046039157550537,0.049445498056892245
common_imd_1991_2020,ALL,2024,south_peninsula,2,49,38,0.3345425952106194,0.4571711295198652,0.2752875314921523,0.33840989805267574,0.06312236656052345,0.1226285343092458
common_imd_1991_2020,ALL,2024,south_peninsula,3,49,38,0.1689258949365442,0.41366454545219167,0.12999991654034096,0.31977126893160746,0.1897713523912665,0.24473865051564747
common_imd_1991_2020,ALL,2024,south_peninsula,4,49,38,0.23973907818628823,0.3929133520965155,0.20677180481345556,0.31509066869385893,0.10831886388040338,0.15317427391022728
common_imd_1991_2020,ALL,ALL,central_india,1,101,64,0.7543991848268117,0.7652151916553105,0.5375722838541951,0.5801228702498481,0.04255058639565301,0.010816006828498814
common_imd_1991_2020,ALL,ALL,central_india,2,101,64,0.48793673362658285,0.5986587821750573,0.3158081603665582,0.3782410778040749,0.06243291743751672,0.11072204854847445
common_imd_1991_2020,ALL,ALL,central_india,3,101,64,0.39447798989608474,0.43840051352166653,0.2618987488212165,0.2891422234525447,0.0272434746313282,0.0439225236255818
common_imd_1991_2020,ALL,ALL,central_india,4,101,64,0.34799531251142485,0.39000878554719737,0.24421259658594552,0.29096958369584286,0.04675698710989734,0.04201347303577252
common_imd_1991_2020,ALL,ALL,east_northeast_india,1,101,36,0.4886274313219167,0.4240623622789703,0.3887413566782306,0.36722015457005963,-0.02152120210817099,-0.0645650690429464
