method,season,year,region,model,week,n_cases,region_target_cells,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,JFM,ALL,northwest_india,FuXi-S2S,3,26,68,0.17866982958050198,0.22760080397376023,0.12109342357383664,-0.13756829564863066,0.4975564643520177,1.844444261892347,1.1019971661713366,0.10565811273802153
common_imd_1991_2020,JFM,ALL,northwest_india,FuXi-S2S,4,26,68,0.2877813922870435,0.34942645299089764,0.33981186974546596,0.16889450579846577,0.492765477297673,1.7081294161549132,1.029917273768774,0.11674167729260117
common_imd_1991_2020,JFM,ALL,south_peninsula,ERPAS,1,26,38,0.6822506688313891,0.8165660341626039,0.6843768726940945,0.5051050672269222,0.8769262714974647,0.5392236869077212,0.3474162208885638,0.17618722715588536
common_imd_1991_2020,JFM,ALL,south_peninsula,ERPAS,2,26,38,0.3510318156517563,0.5516935776712287,0.36001500575456,0.025346271591536053,0.6930661978927564,0.8383490481696986,0.5663501809432901,0.3739125206904734
common_imd_1991_2020,JFM,ALL,south_peninsula,ERPAS,3,26,38,0.28164770716853815,0.43950950466364985,0.33847478832077565,0.04738067481416253,0.5619547146001687,0.8280141794445582,0.5676894770860149,0.24422423650860964
common_imd_1991_2020,JFM,ALL,south_peninsula,ERPAS,4,26,38,0.19847599352377776,0.22100845217935,0.2420358193236985,0.029939199433734343,0.38692331709396843,1.0037886489059298,0.707759583763596,0.18533901027044472
common_imd_1991_2020,JFM,ALL,south_peninsula,FuXi-S2S,1,26,38,0.7503680175037695,0.8716630554464826,0.8065187084199403,0.6489919041312987,0.9400034411521723,0.45579421691563005,0.23656276401817317,-0.13543188549642615
common_imd_1991_2020,JFM,ALL,south_peninsula,FuXi-S2S,2,26,38,0.4527071387463271,0.7200005383057778,0.4954191636702049,0.10584702546050725,0.894327845589076,0.6769932725613785,0.3995051864441252,-0.037713252862298055
common_imd_1991_2020,JFM,ALL,south_peninsula,FuXi-S2S,3,26,38,0.5904442563481015,0.7083415964407642,0.6324624308736244,0.3899987472565847,0.86823819156816,0.6083342222769675,0.37755674322962895,-0.07577137720733855
common_imd_1991_2020,JFM,ALL,south_peninsula,FuXi-S2S,4,26,38,0.5967707406669542,0.6902827844974787,0.6225612814851339,0.4051060642819281,0.8447342766746432,0.7344672194923685,0.4787011626952576,-0.21214989898761247
