method,case_id,erpas_init,fuxi_init,year,init_month,season_memberships,week,valid_period_start,valid_period_end_exclusive,model,erpas_source_count,acc,rmse_mm_day,mae_mm_day,bias_mm_day
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,4,2023-04-06,2023-04-13,ERPAS,20,-0.19149568545809614,2.6698846814261725,1.4421431074481987,1.0819760949448212
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,1,2023-03-16,2023-03-23,FuXi-S2S,20,0.7256558674468381,1.956116410216423,1.3203286067821791,-0.5186377809326312
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,2,2023-03-23,2023-03-30,FuXi-S2S,20,0.5541753182941629,1.203224235769646,0.7402309972169883,0.24952076581282104
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,3,2023-03-30,2023-04-06,FuXi-S2S,20,0.17416632489969341,1.8729306860424124,1.2290194248876722,-0.9538622011687093
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,4,2023-04-06,2023-04-13,FuXi-S2S,20,0.30159511866441985,1.689951172280996,0.8156572406540246,0.37682869462726964
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,1,2023-03-23,2023-03-30,ERPAS,20,0.31196437453576964,1.5161015692146593,0.8952267247752282,0.0964770751326232
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,2,2023-03-30,2023-04-06,ERPAS,20,-0.14227480755448987,2.206723625471103,1.399932498185653,-0.39195751212182045
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,3,2023-04-06,2023-04-13,ERPAS,20,0.12422842752823032,2.1171372161915265,1.2400683451666041,0.877430255774095
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,4,2023-04-13,2023-04-20,ERPAS,20,0.060837099740915744,2.3096974071715484,1.0465498263126547,0.8361355657161251
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,1,2023-03-23,2023-03-30,FuXi-S2S,20,0.5933939078215685,1.1914552923381547,0.5887797664967467,0.02745584870938735
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,2,2023-03-30,2023-04-06,FuXi-S2S,20,0.23601620185000066,1.9222049232137652,1.1804108575646912,-0.8918065068165121
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,3,2023-04-06,2023-04-13,FuXi-S2S,20,0.004375480709233469,2.0389489624230723,0.9329691331048152,0.5513138983862093
common_imd_1991_2020,paired_20230322,2023-03-22,2023-03-20,2023,3,JFM;MAM,4,2023-04-13,2023-04-20,FuXi-S2S,20,-0.1638943473563936,2.0754859026807724,0.8275961891354507,0.2619190845084123
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,1,2023-03-30,2023-04-06,ERPAS,20,0.03405879709036529,2.144722284490792,1.290432778177615,-0.06005395614764512
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,2,2023-04-06,2023-04-13,ERPAS,20,0.7085707657273665,1.2876909050359673,0.7082314435907602,0.46512266296318006
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,3,2023-04-13,2023-04-20,ERPAS,20,0.07676264878950559,1.8425443163823845,0.8251219282940983,0.2731562645376748
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,4,2023-04-20,2023-04-27,ERPAS,20,-0.07551591149684693,2.647400184500092,1.6982888028977172,0.2425944083048414
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,1,2023-03-30,2023-04-06,FuXi-S2S,20,0.5357150836418145,1.5270598533103197,0.7708587730555589,-0.2985705046074108
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,2,2023-04-06,2023-04-13,FuXi-S2S,20,0.1298361818534183,2.057807158753357,0.8936443765701376,0.6302219562098632
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,3,2023-04-13,2023-04-20,FuXi-S2S,20,0.18982279326125748,1.673290848604158,0.80879340369513,0.30010541598273965
common_imd_1991_2020,paired_20230329,2023-03-29,2023-03-27,2023,3,JFM;MAM,4,2023-04-20,2023-04-27,FuXi-S2S,20,0.04482261597855421,2.158880379163098,1.3548435218933603,-0.9182946367193097
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,1,2023-04-06,2023-04-13,ERPAS,20,0.9137313130732904,0.7079320541545527,0.42612438354168997,0.15202895908084826
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,2,2023-04-13,2023-04-20,ERPAS,20,0.07596204509813917,1.8430164087451044,0.7954367648696704,0.24948408054061974
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,3,2023-04-20,2023-04-27,ERPAS,20,-0.3211753486781385,3.5615113978734105,2.1341375191436716,0.6264715137979936
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,4,2023-04-27,2023-05-04,ERPAS,20,-0.26490897424993454,5.0436990021397685,3.884236621690742,-2.286466000834959
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,1,2023-04-06,2023-04-13,FuXi-S2S,20,0.9130497907892777,0.7520124481328073,0.3501330884700758,-0.07705778591279533
common_imd_1991_2020,paired_20230405,2023-04-05,2023-04-03,2023,4,MAM,2,2023-04-13,2023-04-20,FuXi-S2S,20,0.07143827822386467,1.8801566520426494,0.6287501704424008,-0.016364950887177345
