source,metric,variable,model,clim_basis,lead,region,n_init,mean,ci_low,ci_high
deterministic,pcc,Z500,Persistence,era5,1,All India,9,0.11227519473527166,-0.16185697837965338,0.3602500325290086
deterministic,pcc,Z500,Persistence,era5,2,All India,9,0.275187401972736,-0.1416987626306577,0.6529390224252672
deterministic,pcc,Z500,Persistence,era5,3,All India,9,0.01646496405299619,-0.23362850660201012,0.2937477257805883
deterministic,pcc,Z500,Persistence,era5,4,All India,9,0.3028333329841177,-0.11730041376020198,0.6340064132440355
deterministic,pcc,Z500,Persistence,era5,5,All India,9,0.05478503081973375,-0.24395160635881724,0.36499392846219847
deterministic,pcc,Z500,Persistence,era5,6,All India,9,-0.09635839607887993,-0.5184436777605876,0.36428203582497604
deterministic,rmse,TP,FuXi,era5,1,All India,1,2.5021942919833213,2.5021942919833213,2.5021942919833213
deterministic,rmse,TP,FuXi,era5,2,All India,1,4.110853753058542,4.110853753058542,4.110853753058542
deterministic,rmse,TP,FuXi,era5,3,All India,1,8.789035972789003,8.789035972789003,8.789035972789003
deterministic,rmse,TP,FuXi,era5,4,All India,1,5.722690471408857,5.722690471408857,5.722690471408857
deterministic,rmse,TP,FuXi,era5,5,All India,1,4.696032968107225,4.696032968107225,4.696032968107225
deterministic,rmse,TP,FuXi,era5,6,All India,1,8.514230141107516,8.514230141107516,8.514230141107516
deterministic,rmse,TP,ECMWF,era5,1,All India,8,3.8099272599071092,2.775860888942495,4.9701674395543085
deterministic,rmse,TP,ECMWF,era5,2,All India,8,5.141408755294035,4.1983892541495695,6.101046517903335
deterministic,rmse,TP,ECMWF,era5,3,All India,8,5.910685762681046,5.1189225017822855,6.795517721501407
deterministic,rmse,TP,ECMWF,era5,4,All India,8,6.428852770643629,5.319952018122555,7.428874354877111
deterministic,rmse,TP,ECMWF,era5,5,All India,8,5.5386617673887955,4.510524959465196,6.498621704599805
deterministic,rmse,TP,ECMWF,era5,6,All India,8,6.304523628518501,4.604713114013443,7.943974146194224
deterministic,rmse,TP,ECMWF,model_own,1,All India,8,3.8099272599071092,2.775860888942495,4.9701674395543085
deterministic,rmse,TP,ECMWF,model_own,2,All India,8,5.141408755294035,4.1983892541495695,6.101046517903335
deterministic,rmse,TP,ECMWF,model_own,3,All India,8,5.910685762681046,5.1189225017822855,6.795517721501407
deterministic,rmse,TP,ECMWF,model_own,4,All India,8,6.428852770643629,5.319952018122555,7.428874354877111
deterministic,rmse,TP,ECMWF,model_own,5,All India,8,5.5386617673887955,4.510524959465196,6.498621704599805
deterministic,rmse,TP,ECMWF,model_own,6,All India,8,6.304523628518501,4.604713114013443,7.943974146194224
deterministic,rmse,TP,Persistence,era5,1,All India,9,7.138452203092202,5.584368305122051,8.70412819042915
deterministic,rmse,TP,Persistence,era5,2,All India,9,8.22937957660968,6.629908429023419,10.217340027464205
deterministic,rmse,TP,Persistence,era5,3,All India,9,9.07175854654264,6.93277188860737,11.37301612525673
deterministic,rmse,TP,Persistence,era5,4,All India,9,8.5217134759,6.847466934773558,10.672408346694654
deterministic,rmse,TP,Persistence,era5,5,All India,9,8.853012578754894,7.1395217052267075,10.781932905272475
deterministic,rmse,TP,Persistence,era5,6,All India,9,10.167498681843844,8.458351759434098,11.656492002619581
deterministic,rmse,Z500,FuXi,era5,1,All India,1,2.5193358862315094,2.5193358862315094,2.5193358862315094
deterministic,rmse,Z500,FuXi,era5,2,All India,1,5.152120236765368,5.152120236765368,5.152120236765368
deterministic,rmse,Z500,FuXi,era5,3,All India,1,6.938311887455951,6.938311887455951,6.938311887455951
deterministic,rmse,Z500,FuXi,era5,4,All India,1,16.15696665914915,16.15696665914915,16.15696665914915
deterministic,rmse,Z500,FuXi,era5,5,All India,1,16.69165018471366,16.69165018471366,16.69165018471366
deterministic,rmse,Z500,FuXi,era5,6,All India,1,5.713715581227248,5.713715581227248,5.713715581227248
deterministic,rmse,Z500,ECMWF,era5,1,All India,8,6.217140442510711,4.862034480263751,7.259693213904999
deterministic,rmse,Z500,ECMWF,era5,2,All India,8,8.583359470357708,6.315846142916588,10.977375918503181
deterministic,rmse,Z500,ECMWF,era5,3,All India,8,10.336462055624011,8.768170769956399,12.152038573550588
deterministic,rmse,Z500,ECMWF,era5,4,All India,8,11.426248031797357,7.9877665378146006,15.432733787925068
deterministic,rmse,Z500,ECMWF,era5,5,All India,8,12.461625823863736,9.76491720433683,14.804419729688984
deterministic,rmse,Z500,ECMWF,era5,6,All India,8,12.705166379688542,9.137172072837377,16.37376516838243
deterministic,rmse,Z500,ECMWF,model_own,1,All India,8,6.217140442510711,4.862034480263751,7.259693213904999
deterministic,rmse,Z500,ECMWF,model_own,2,All India,8,8.583359470357708,6.315846142916588,10.977375918503181
deterministic,rmse,Z500,ECMWF,model_own,3,All India,8,10.336462055624011,8.768170769956399,12.152038573550588
deterministic,rmse,Z500,ECMWF,model_own,4,All India,8,11.426248031797357,7.9877665378146006,15.432733787925068
deterministic,rmse,Z500,ECMWF,model_own,5,All India,8,12.461625823863736,9.76491720433683,14.804419729688984
deterministic,rmse,Z500,ECMWF,model_own,6,All India,8,12.705166379688542,9.137172072837377,16.37376516838243
deterministic,rmse,Z500,Persistence,era5,1,All India,9,16.613771965716296,12.496886464205978,21.71065410274624
deterministic,rmse,Z500,Persistence,era5,2,All India,9,17.379486371937944,14.198629998167531,20.57079496027041
deterministic,rmse,Z500,Persistence,era5,3,All India,9,21.309709092810188,18.536503927710122,23.982804342162943
deterministic,rmse,Z500,Persistence,era5,4,All India,9,18.497518385121293,13.812756686779295,23.574584811027183
deterministic,rmse,Z500,Persistence,era5,5,All India,9,25.358977300374775,19.98012073555994,30.611865817863286
deterministic,rmse,Z500,Persistence,era5,6,All India,9,25.755854286352175,20.02893372498826,31.9198764437915
deterministic,std_ratio,TP,FuXi,era5,1,All India,1,0.9842042506915908,0.9842042506915908,0.9842042506915908
deterministic,std_ratio,TP,FuXi,era5,2,All India,1,0.8417910097938147,0.8417910097938147,0.8417910097938147
deterministic,std_ratio,TP,FuXi,era5,3,All India,1,0.5424565233506392,0.5424565233506392,0.5424565233506392
deterministic,std_ratio,TP,FuXi,era5,4,All India,1,0.5654742912054994,0.5654742912054994,0.5654742912054994
deterministic,std_ratio,TP,FuXi,era5,5,All India,1,0.789715444504194,0.789715444504194,0.789715444504194
deterministic,std_ratio,TP,FuXi,era5,6,All India,1,0.4301609984673702,0.4301609984673702,0.4301609984673702
deterministic,std_ratio,TP,ECMWF,era5,1,All India,8,1.0091067699501544,0.9219759389447582,1.108561614290533
deterministic,std_ratio,TP,ECMWF,era5,2,All India,8,0.8741205965913971,0.760285451278371,0.9960130404330159
deterministic,std_ratio,TP,ECMWF,era5,3,All India,8,0.7646720031546178,0.6275920489856835,0.9385081184604088
deterministic,std_ratio,TP,ECMWF,era5,4,All India,8,0.5693379460749979,0.47258404186093683,0.685507748035484
deterministic,std_ratio,TP,ECMWF,era5,5,All India,8,0.5838633860099649,0.5155734446696523,0.6537176591204256
deterministic,std_ratio,TP,ECMWF,era5,6,All India,8,0.550855709979365,0.43379904454332696,0.6713217196704632
deterministic,std_ratio,TP,ECMWF,model_own,1,All India,8,0.8139966933653626,0.7505971662013282,0.889621704099478
deterministic,std_ratio,TP,ECMWF,model_own,2,All India,8,0.6212638021489656,0.5466230517580326,0.691108358788637
deterministic,std_ratio,TP,ECMWF,model_own,3,All India,8,0.47175988775180727,0.3804194744719707,0.5840414624925127
deterministic,std_ratio,TP,ECMWF,model_own,4,All India,8,0.32498936367305,0.2759553015641508,0.38580355565557717
deterministic,std_ratio,TP,ECMWF,model_own,5,All India,8,0.31274389301553784,0.2557093121260529,0.37121986730068923
deterministic,std_ratio,TP,ECMWF,model_own,6,All India,8,0.3136495081114102,0.23110007149878697,0.41306355068390915
deterministic,std_ratio,TP,Persistence,era5,1,All India,9,1.128828037830644,0.8914754973767546,1.3865215909951483
deterministic,std_ratio,TP,Persistence,era5,2,All India,9,1.0844618231786192,0.8023832103162343,1.3702258688499198
deterministic,std_ratio,TP,Persistence,era5,3,All India,9,1.0930689221514056,0.86152047814232,1.3395390786201642
deterministic,std_ratio,TP,Persistence,era5,4,All India,9,1.0269165812978396,0.8629118126507632,1.2262711931393944
deterministic,std_ratio,TP,Persistence,era5,5,All India,9,1.2188402276161214,0.9758999248658031,1.488465634570705
deterministic,std_ratio,TP,Persistence,era5,6,All India,9,1.2481184441292084,0.8299153542805908,1.7574694510234603
deterministic,std_ratio,Z500,FuXi,era5,1,All India,1,0.930335891131598,0.930335891131598,0.930335891131598
deterministic,std_ratio,Z500,FuXi,era5,2,All India,1,1.2650637099301236,1.2650637099301236,1.2650637099301236
deterministic,std_ratio,Z500,FuXi,era5,3,All India,1,0.6342745881664285,0.6342745881664285,0.6342745881664285
deterministic,std_ratio,Z500,FuXi,era5,4,All India,1,0.2208897448998951,0.2208897448998951,0.2208897448998951
deterministic,std_ratio,Z500,FuXi,era5,5,All India,1,0.5162883502403991,0.5162883502403991,0.5162883502403991
deterministic,std_ratio,Z500,FuXi,era5,6,All India,1,0.3945060393945052,0.3945060393945052,0.3945060393945052
deterministic,std_ratio,Z500,ECMWF,era5,1,All India,8,1.0346194882220443,0.9297681414636659,1.1914308216027607
deterministic,std_ratio,Z500,ECMWF,era5,2,All India,8,0.8121541540616429,0.6110745479309188,0.9964805122835416
deterministic,std_ratio,Z500,ECMWF,era5,3,All India,8,0.6620155587375671,0.48659869910417086,0.8528884819346148
deterministic,std_ratio,Z500,ECMWF,era5,4,All India,8,0.5918850991863431,0.41228807577093085,0.8253893007531877
deterministic,std_ratio,Z500,ECMWF,era5,5,All India,8,0.521018495421616,0.30861265273064287,0.810860804169157
deterministic,std_ratio,Z500,ECMWF,era5,6,All India,8,0.6552596748194548,0.3714772887556244,1.0960646055380279
deterministic,std_ratio,Z500,ECMWF,model_own,1,All India,8,0.9214227038593941,0.7681490491429109,1.1229436445387901
deterministic,std_ratio,Z500,ECMWF,model_own,2,All India,8,0.7659478417131241,0.5468286646313927,0.992347788773448
deterministic,std_ratio,Z500,ECMWF,model_own,3,All India,8,0.5906447903638392,0.3866816919316839,0.8616876863761962
deterministic,std_ratio,Z500,ECMWF,model_own,4,All India,8,0.382528527529164,0.23355188445088207,0.5520762225175249
deterministic,std_ratio,Z500,ECMWF,model_own,5,All India,8,0.3137472419568121,0.20575233798530285,0.468722167282987
deterministic,std_ratio,Z500,ECMWF,model_own,6,All India,8,0.3169251523643475,0.18500755348496334,0.5352348310760441
deterministic,std_ratio,Z500,Persistence,era5,1,All India,9,1.365305461618259,1.1323577128322757,1.6245286796165619
deterministic,std_ratio,Z500,Persistence,era5,2,All India,9,1.861131140761913,1.0222559430159741,2.7503402496159586
deterministic,std_ratio,Z500,Persistence,era5,3,All India,9,1.9003793018588142,1.2030390595940885,2.7575803907037018
deterministic,std_ratio,Z500,Persistence,era5,4,All India,9,1.7349256059488178,1.3052778666476783,2.1891520693286344
deterministic,std_ratio,Z500,Persistence,era5,5,All India,9,2.27331181452257,1.6207613398355325,2.8512933625965613
deterministic,std_ratio,Z500,Persistence,era5,6,All India,9,2.971516175733878,1.6285366967799588,4.920370625050815
probabilistic,crpss_clim,TP,FuXi,era5,1,All India,1,0.3311646065994549,0.3311646065994549,0.3311646065994549
probabilistic,crpss_clim,TP,FuXi,era5,2,All India,1,0.4044803082636374,0.4044803082636374,0.4044803082636374
probabilistic,crpss_clim,TP,FuXi,era5,3,All India,1,-0.0421636239603495,-0.0421636239603495,-0.0421636239603495
probabilistic,crpss_clim,TP,FuXi,era5,4,All India,1,0.1459498739323835,0.1459498739323835,0.1459498739323835
probabilistic,crpss_clim,TP,FuXi,era5,5,All India,1,0.1163450681699115,0.1163450681699115,0.1163450681699115
probabilistic,crpss_clim,TP,FuXi,era5,6,All India,1,-0.0392816581753903,-0.0392816581753903,-0.0392816581753903
probabilistic,crpss_clim,TP,ECMWF,era5,1,All India,8,0.41664827232053336,0.2928223749230954,0.5385475029043418
probabilistic,crpss_clim,TP,ECMWF,era5,2,All India,8,0.19756381547481228,0.06283760215830207,0.33121257298890067
