lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm
32,2026-07-03,188.57759,167.80621,209.53668,215.11648688422065,158.873859064473,269.6242009126204,167.12119,194.64548,11.010106699173122,9.263468298634953,8.18708187882876,142.77743033523367,122.11053632943515,127.471131017156
33,2026-07-04,199.8976,178.8513,222.45755,224.2147631178761,164.65556108335662,277.43327088916266,174.69556,202.94388,12.231142120667265,10.029423686453908,9.503945930239931,155.00857245590095,132.13996001588905,136.97507694739593
34,2026-07-05,209.99147,189.06274,230.80748,233.59926493892505,169.82597548496693,287.91193816552914,182.13579,211.336,10.023024359559038,10.570047483743371,10.707952295989562,165.03159681545998,142.7100074996324,147.6830292433855
35,2026-07-06,219.20259,196.77864,240.70561,243.15933050789852,180.40909787333212,300.7927835169648,189.67567,219.81717,10.418968958357947,12.77140647349671,11.913191171995273,175.4505657738179,155.48141397312912,159.59622041538077
36,2026-07-07,227.99155,204.922,253.30615,252.62141197088675,189.01112782245988,312.4319296594731,197.13594,228.38321,9.766635110138866,11.297929403289029,9.14323869277937,185.2172008839568,166.77934337641815,168.73945910816013
37,2026-07-08,236.56668,214.03915,263.23447,261.92853937757997,194.9616393747083,324.8289229694576,204.82466,237.03061,9.16342281666073,10.654908407162988,10.391826405483492,194.38062370061752,177.43425178358115,179.13128551364363
38,2026-07-09,245.1606,220.3859,275.10938,270.83244656270153,203.23324243714006,333.37272366782776,212.90253,245.75447,8.48234414774134,8.739287596397652,8.312746467405894,202.86296784835886,186.1735393799788,187.44403198104953
39,2026-07-10,253.53036,224.95132,285.2858,279.0881361818496,214.32382297319867,341.47607167583277,221.81398,254.54912,5.226885723340722,6.595662438724297,5.813106002542468,208.0898535716996,192.7692018187031,193.257137983592
40,2026-07-11,261.46692,229.02457,295.80554,287.88509368662426,226.20083716588192,352.29044185114185,231.21909,263.40714,4.4030951605573785,4.905400080851553,4.456683968793795,212.49294873225696,197.67460189955466,197.71382195238579
41,2026-07-12,269.25177,236.31342,306.95667,296.7920324256415,232.21929529700287,367.71708967289476,240.22394,272.32092,2.1732545919897763,2.4502784307575625,2.2449324213117112,214.66620332424674,200.1248803303122,199.9587543736975
42,2026-07-13,277.20477,244.02887,316.81702,305.65978479554434,237.98763826602772,377.9606170163309,248.07735,281.2848,2.92376757076801,3.0760606201271328,2.9987340810164045,217.58997089501474,203.20094095043933,202.9574884547139
