lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm,snapshot_mean,snapshot_p10,snapshot_p90
11,2026-07-04,77.54722,73.92614,80.80747,96.59518181551005,81.58802213468327,113.85992226173049,74.71374,84.98824,12.231142120667265,10.029423686453908,9.503945930239931,80.497887401503,68.84667005774348,70.16375901898084,70.04187,67.57014312744141,72.73522567749023
12,2026-07-05,88.18834,84.43186,91.96035,108.73625558997632,91.09415943601053,126.68957919991794,82.15397,93.38036,10.023024359559038,10.570047483743371,10.707952295989562,90.52091176106202,79.41671754148685,80.8717113149704,78.37527,75.42334213256837,81.51300506591797
13,2026-07-06,97.30826,93.31886,102.40088,121.290544838129,103.25273031785733,138.97446690755874,89.693855,101.861534,10.418968958357947,12.77140647349671,11.913191171995273,100.93988071941997,92.18812401498356,92.78490248696568,86.69573,83.36792297363282,90.27809829711914
14,2026-07-07,105.87143,101.708496,111.833084,133.45380742165608,110.34142375454344,152.98834530146755,97.15412,110.42758,9.766635110138866,11.297929403289029,9.14323869277937,110.70651582955884,103.48605341827259,101.92814117974504,95.780785,91.52265701293943,100.92599563598633
15,2026-07-08,115.28282,110.27516,120.632034,145.08146016584132,120.150363795707,169.1911080777369,104.84284,119.074974,9.16342281666073,10.654908407162988,10.391826405483492,119.86993864621957,114.14096182543558,112.31996758522854,105.24961,100.05165328979491,112.28059005737305
16,2026-07-09,125.76294,119.22249,131.62971,155.6261752984237,128.3125687756122,179.15631891886142,112.9207,127.79883,8.48234414774134,8.739287596397652,8.312746467405894,128.3522827939609,122.88024942183324,120.63271405263444,115.20766,109.42877426147462,121.66283950805663
17,2026-07-10,136.28134,130.05872,142.04222,165.22988786602284,137.0449934843884,191.75906552329312,121.83216,136.59348,5.226885723340722,6.595662438724297,5.813106002542468,133.57916851730164,129.47591186055755,126.44582005517691,124.42913,117.74440078735353,130.64513092041017
18,2026-07-11,145.89366,138.94986,151.51529,174.82783377224104,143.56513627245565,202.77979965352924,131.23727,145.45149,4.4030951605573785,4.905400080851553,4.456683968793795,137.982263677859,134.3813119414091,130.9025040239707,131.9778,123.31761856079102,138.5024673461914
19,2026-07-12,155.00444,148.99855,161.024,183.6807950395529,151.60377515572452,213.46596590892918,140.24213,154.3653,2.1732545919897763,2.4502784307575625,2.2449324213117112,140.15551826984878,136.83159037216666,133.1474364452824,138.36166,129.5567626953125,145.09097747802736
20,2026-07-13,164.23967,158.46553,170.40756,192.09236291578642,162.7963410191923,223.9252637102695,148.09554,163.32915,2.92376757076801,3.0760606201271328,2.9987340810164045,143.0792858406168,139.90765099229378,136.14617052629882,144.7505,136.0439224243164,152.32359924316407
21,2026-07-14,173.4327,167.07576,181.69162,200.1994886636203,167.04282912124484,232.19241011491118,155.71857,172.33932,1.7572705664636663,2.17555102703,1.5903524072602022,144.83655640708045,142.08320201932378,137.73652293355903,151.5146,143.24165954589844,159.67389678955078
22,2026-07-15,182.3226,174.44368,189.8222,208.1836524255341,172.68103574394004,240.78693401282877,164.08347,181.3933,2.6511587860129664,2.806456524106794,2.793537231577246,147.4877151930934,144.88965854343058,140.53006016513626,158.50009,150.2841064453125,166.57432708740234
