Region,Week,Init_Date,Model,ACC,RMSE,Bias
central_india,Week 5,2026-01-29,NCEP,-0.4852188182800228,0.19125759923016772,0.051478021590060576
south_peninsula,Week 5,2026-01-29,FuXi,0.9705694911844043,0.017525719142387958,-0.007709032794130453
south_peninsula,Week 5,2026-01-29,Spire,0.9431033470359815,0.04754125122117058,-0.030401540945895873
south_peninsula,Week 5,2026-01-29,ECMWF,-0.6534658645427719,0.6154858515377688,0.38474951546926806
south_peninsula,Week 5,2026-01-29,NCEP,-0.31866462291910735,0.18595921672416477,0.04651610465656001
east_northeast_india,Week 5,2026-01-29,FuXi,0.9031157304400008,0.042324103582592046,-0.02357033511114276
east_northeast_india,Week 5,2026-01-29,Spire,0.8953572781400839,0.03396905634767771,0.02237586387944688
east_northeast_india,Week 5,2026-01-29,ECMWF,-0.09076779768292971,1.2079251234803485,0.6230170152909582
east_northeast_india,Week 5,2026-01-29,NCEP,-0.010167696232606799,1.0412734167347326,0.6466859622167962
All India,Week 5,2026-02-05,FuXi,0.7749991943118645,0.05800251565008637,-0.024137676188127958
All India,Week 5,2026-02-05,Spire,0.6466764938359422,0.08176847626409116,-0.028938741568381613
All India,Week 5,2026-02-05,ECMWF,0.2227545290175999,1.6318366951847487,0.625324853041015
All India,Week 5,2026-02-05,NCEP,0.14572004164755464,1.8914331611392843,0.8472765330617313
northwest_india,Week 5,2026-02-05,FuXi,0.08531877953069883,0.09930704558407928,-0.03078685586617005
northwest_india,Week 5,2026-02-05,Spire,-0.2225768924424885,0.11356166907915123,-0.025017970350417022
northwest_india,Week 5,2026-02-05,ECMWF,0.7692801059838985,2.6334360249382627,1.2349129601577045
northwest_india,Week 5,2026-02-05,NCEP,0.4716933422261547,2.5796078228050248,1.6837226957340685
central_india,Week 5,2026-02-05,FuXi,0.8772924450758948,0.021039516911131914,-0.007712807461989226
central_india,Week 5,2026-02-05,Spire,0.8268889255408,0.023739556461073785,0.004477218699392094
central_india,Week 5,2026-02-05,ECMWF,-0.6735097236419089,0.36553190295643934,0.10270647035310033
