variable,model,valid_month,valid_month_name,region,lead_bucket,pcc,rmse,bias,msss_clim,std_ratio,n_init,crpss_clim,crps,ssr,spread,briss_clim
TP,ECMWF,9,Sep,All India,W5-6,0.22226096451866972,5.999787971038211,-2.647358361027565,0.09174787384413867,0.47927385372935516,3,0.0321228685100847,3.3169628299875797,0.798357288661033,4.317643573072917,0.11006806548385484
TP,ECMWF,9,Sep,northwest_india,W1-2,0.38263734696757085,4.839264249816248,3.0195946251262398,-0.611282903535233,1.0225362252929082,1,-0.25069148109097517,2.608266244114873,0.8413868616871345,3.7014982551251188,-0.2786685608545026
TP,ECMWF,9,Sep,northwest_india,W3-4,0.5169568811295145,3.5559457990615235,-0.4000122109211574,0.14192676476130736,0.506113520257496,3,0.12583334767992285,1.7817362412832054,1.0728884071436744,3.2359449517053767,0.10216946889223508
TP,ECMWF,9,Sep,northwest_india,W5-6,0.3860856733746444,3.533048486602735,-0.30529429549273557,0.17584406643250444,0.4936187176337727,3,0.09289397518880495,1.8710673355846403,1.175954672330622,3.7463685610364843,0.04512923503644638
TP,ECMWF,9,Sep,central_india,W1-2,0.1851275931077745,9.055460567050735,-3.015698617874868,0.38014328025929744,0.544009918872799,1,0.18880355627621975,5.008391968974374,0.647266545433774,5.816292570384392,0.6123783581160419
TP,ECMWF,9,Sep,central_india,W3-4,0.1282764855380623,8.46545708555028,-6.145098075036604,-0.0397093662662836,0.5098273333241072,3,-0.07622480687000868,5.480048703319971,0.6359218332160705,5.14202960834731,0.1658498001500503
TP,ECMWF,9,Sep,central_india,W5-6,0.23057671004655195,7.327923563460253,-5.091341537318046,0.15875715575173374,0.3916262902279003,3,0.057425614621718246,4.726040931477749,0.8198709867990942,4.848435280785563,0.20988553023240747
TP,ECMWF,9,Sep,south_peninsula,W1-2,0.8693584213043567,2.1014726270195476,0.3149183273464372,0.6691995321448103,1.1499811989348818,1,0.4590061573876816,1.2737985482122696,1.317701501424053,2.779677725404321,0.4083585835103725
TP,ECMWF,9,Sep,south_peninsula,W3-4,0.7111939142012248,3.7255354069138322,-1.2696465777333659,0.05953944743122175,0.7666227088560569,3,0.01349325283026464,2.3729983935782486,1.2301241401499214,3.9185844068773648,0.07977640039027531
TP,ECMWF,9,Sep,south_peninsula,W5-6,0.5947441853134966,3.975640451593815,-2.3391457657054966,-0.12997870870277045,0.8018496343064019,3,0.08166075801561624,2.5151973291113476,1.1255006743369937,3.5698427446154013,0.17558992632313175
TP,ECMWF,9,Sep,east_northeast_india,W1-2,0.6018201411784405,4.007402476783129,-1.5316148932761804,0.4240193659430493,1.1457423388136392,1,0.31091090090501555,2.373819068976772,0.9227917272422552,3.4123611097615587,0.5110079654638919
TP,ECMWF,9,Sep,east_northeast_india,W3-4,0.4862466828873743,5.828517957035113,-3.43341063532948,-0.31186686255721174,1.0112474858303853,3,0.08289011389127546,3.6307126249243793,1.0501013635959844,4.859253903684646,0.31358912869852124
TP,ECMWF,9,Sep,east_northeast_india,W5-6,0.583367547074977,6.161554320732186,-2.561391632882941,0.03340161476795194,0.9583337888972518,3,0.05482943757462407,4.2527410675848465,1.670130872050946,5.283003082046444,0.29341247959877836
TP,ECMWF,10,Oct,All India,W5-6,0.47238271840923246,2.9522006600535304,-1.2957215287927366,0.007090640327195294,0.6376496609143955,1,0.2971471271917609,1.6388265438636613,0.9407023198173017,2.5334609538145054,0.2748166657854587
TP,ECMWF,10,Oct,northwest_india,W5-6,0.26734706465817465,1.9949770653422823,-1.2587601876619636,-0.07633021422029232,0.5504008262940434,1,0.25804001925728326,1.2355613753770882,0.6431967726703878,0.8819813907769428,0.3241284489243611
TP,ECMWF,10,Oct,central_india,W5-6,0.37240936525624024,2.97291368984436,-1.4039648109784855,-0.04373592752588722,0.2959773548632799,1,0.4037879392827859,1.7003857639013065,1.023158370334686,2.8306180535782124,0.485993189774426
TP,ECMWF,10,Oct,south_peninsula,W5-6,0.6746541515935891,2.2217209316654856,0.23601073325433214,0.3008483993293264,0.7406606944097718,1,0.27426705241643495,1.4098759640364027,1.7248541386982823,3.885795579821451,0.36110792044491424
TP,ECMWF,10,Oct,east_northeast_india,W5-6,0.6541537310105809,4.599044722340949,-3.0351804301822525,-0.40839659912411425,0.8366325562658398,1,0.1746852807108627,2.6638442814858685,0.8788555687098177,3.7786199698122447,0.3408575182125229
TP,FuXi,6,Jun,All India,W1-2,0.8020428028606612,2.5021942919833213,-1.3853619898519218,0.455703644199161,0.9842042506915908,1,0.3311646065994549,1.6628320893297823,0.1551502654954409,0.388216108722389,0.36307783996430276
