season,variable,model,region,init_date,scale,lead,week,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JFM2026,Z500,ECMWF,northwest_india,2026-02-05,daily,14,Week 2,0.6026683790584032,39.32858180032125,19.09937812402742,0.49328326985283344,0.05941451940449771,28.27434575810592,43.83674106780756,5753.346651294519,5734.247273170491,0.6449919649448984
JFM2026,Z500,ECMWF,northwest_india,2026-02-12,daily,14,Week 2,0.513362711946997,28.97777895028833,-19.76537315966029,0.027496893278996626,-2.2239463957649535,21.209376354216364,21.934062471829016,5716.144120845308,5735.909494004968,0.9669606978395634
JFM2026,Z500,ECMWF,northwest_india,2026-02-19,daily,14,Week 2,-0.3930127706493623,110.9956287986678,-108.9119733586626,0.3424756784482348,-0.2659122360994661,8.048564158588094,14.459940879793352,5744.5812750204595,5853.493248379121,0.5566111386966553
JFM2026,Z500,ECMWF,northwest_india,2026-02-26,daily,14,Week 2,0.09724442423099589,93.76073522151836,-92.13534148948976,0.15590699251322404,0.17443700291283926,14.369603843236701,14.806032757077915,5747.266526405555,5839.401867895043,0.9705235750182586
JFM2026,Z500,ECMWF,northwest_india,2026-03-05,daily,14,Week 2,0.745134258574608,18.01598205798043,17.448340534785256,-1.2157234296736372,0.7324586386051091,5.464219017624154,6.349515271682232,5752.144580473529,5734.696239938744,0.8605726238652657
JFM2026,Z500,ECMWF,northwest_india,2026-03-12,daily,14,Week 2,0.6218341105371219,37.56626332812411,36.307726154519855,-11.008393842458178,0.8174724242769145,8.034232540240463,9.616870039841375,5794.91270556822,5758.6049794137,0.8354311233234658
JFM2026,Z500,ECMWF,northwest_india,2026-03-19,daily,14,Week 2,0.7651440790226747,6.68383814774033,1.9481021639451142,0.5258965323449847,0.956132283256857,8.686356359351718,8.444007449148536,5770.9070499544505,5768.9589477905065,1.0287006982955256
JFM2026,Z500,ECMWF,northwest_india,2026-03-26,daily,14,Week 2,0.408823576185093,76.69148457514476,74.50642462707746,0.49882407669753603,-0.5077894756629346,8.95850248133328,22.36739994299221,5750.047861469323,5675.541436842246,0.4005160413890669
JFM2026,Z500,ECMWF,northwest_india,2026-01-01,daily,15,Week 3,0.8247800809517213,32.95123466849667,-23.851711053420946,0.7435452113541501,-0.9074366395093445,10.229446230559368,24.733670162012626,5733.513021741259,5757.36473279468,0.4135838378838872
JFM2026,Z500,ECMWF,northwest_india,2026-01-08,daily,15,Week 3,0.7859920146782599,53.31860538391126,-51.936627103994724,-0.844099917522434,-0.5541751423233756,9.35619786081462,17.008263977510424,5675.24894890968,5727.185576013674,0.5500971688342838
JFM2026,Z500,ECMWF,northwest_india,2026-01-15,daily,15,Week 3,-0.1374471972629839,12.358051558736348,6.52723613627352,0.748604522541354,0.9147995833040782,4.600858560010997,9.00015623811586,5724.373383822397,5717.846147686125,0.5111976323840091
JFM2026,Z500,ECMWF,northwest_india,2026-01-22,daily,15,Week 3,0.36228722016339104,55.1582652022484,-51.624041436533176,0.2474416699147124,-0.835932330388089,6.20013146430684,19.43417846487615,5707.940726007581,5759.564767444114,0.3190323416815629
JFM2026,Z500,ECMWF,northwest_india,2026-01-29,daily,15,Week 3,0.9058801484270563,57.42660457068778,-54.724223951635075,0.5496007981933413,0.5770252982850439,9.940287603273049,22.52377994302796,5729.351232443272,5784.075456394908,0.44132413069281373
JFM2026,Z500,ECMWF,northwest_india,2026-02-05,daily,15,Week 3,0.8453659506817717,34.202057113810845,11.551160003746531,0.7242051962606517,0.5134405118238377,28.240787286635392,49.809142763840136,5752.352596213228,5740.801436209482,0.5669799904112647
JFM2026,Z500,ECMWF,northwest_india,2026-02-12,daily,15,Week 3,-0.29114533760778843,52.39841765507433,-44.62607524492658,-0.6094492544052132,-4.18854315380932,19.81696793486213,16.64690940588621,5712.570891748859,5757.196966993784,1.1904292533636913
JFM2026,Z500,ECMWF,northwest_india,2026-02-19,daily,15,Week 3,-0.430572286066807,111.58517699188262,-109.87846700263214,0.3824433476572876,-0.04180582028220514,3.053604811574542,17.25900847837209,5754.317212009022,5864.195679011654,0.17692817147642803
JFM2026,Z500,ECMWF,northwest_india,2026-02-26,daily,15,Week 3,0.6801407823745581,51.05828984233974,-49.08096512513333,0.2715294296096876,0.45982701217422584,12.104880885922398,18.489713229795477,5747.698623002787,5796.779588127921,0.6546819161270624
JFM2026,Z500,ECMWF,northwest_india,2026-03-05,daily,15,Week 3,0.9125702382504411,17.378458750416137,15.644292160907233,-0.5134487073137226,0.7302695179621077,7.247447063880233,13.233924374687396,5758.27747255208,5742.6331803911735,0.5476415656222479
JFM2026,Z500,ECMWF,northwest_india,2026-03-12,daily,15,Week 3,0.7506470779456097,6.150933178536646,0.7545914504049662,0.9423501747741314,0.9895252377067583,6.800199374062123,8.117527523457616,5787.52654194621,5786.771950495808,0.8377180557024604
JFM2026,Z500,ECMWF,northwest_india,2026-03-19,daily,15,Week 3,0.9795760770336842,14.399096537103917,-10.485089279700711,0.5461384628478358,0.9284271392160229,8.592824778553938,19.78532454318766,5776.907030176949,5787.39211945665,0.4343029481167928
JFM2026,Z500,ECMWF,northwest_india,2026-03-26,daily,15,Week 3,0.8484803447489364,48.296231064667886,45.65579147807072,0.5845178233179077,-1.365680824845211,10.540134879479254,21.21319784246579,5756.871128465017,5711.2153369869475,0.4968668541986353
JFM2026,Z500,ECMWF,northwest_india,2026-01-01,daily,16,Week 3,0.6835057195723503,52.57059170963451,-51.22365068700907,0.531354990580568,-3.789334972728555,9.32551667218226,12.914670671266203,5722.647573224205,5773.871223911214,0.7220870674565913
JFM2026,Z500,ECMWF,northwest_india,2026-01-08,daily,16,Week 3,0.7849057640436028,41.10357043467309,19.580730511072076,0.3897367524904277,0.5161418895268537,7.569338100104472,44.069365041775455,5677.759997071157,5658.179266560084,0.1717596360403454
JFM2026,Z500,ECMWF,northwest_india,2026-01-15,daily,16,Week 3,0.8873555742369454,16.133912146250218,-15.173535502743741,0.9108612872119004,0.2087684183654679,6.726340529015581,6.630947240206755,5730.461183584158,5745.634719086902,1.0143860726609932
JFM2026,Z500,ECMWF,northwest_india,2026-01-22,daily,16,Week 3,0.74377263484766,52.20585359663369,-51.21757954340802,0.29743784468880896,-0.9370421747452657,7.453896583462562,11.923670038519443,5707.702665832899,5758.920245376306,0.6251344224876009
JFM2026,Z500,ECMWF,northwest_india,2026-01-29,daily,16,Week 3,0.05776420379101323,43.142816424806966,-40.670725273097865,0.6524897125019847,0.6669001051023409,10.554042468330014,11.410747999097014,5732.687329732902,5773.3580550060005,0.9249211768733483
JFM2026,Z500,ECMWF,northwest_india,2026-02-05,daily,16,Week 3,0.983764614899355,42.18080333044424,-31.998876716401803,0.7894180559980586,0.640564369560975,25.548044802497955,48.053451854419954,5749.008445374842,5781.007322091244,0.5316588885205766
JFM2026,Z500,ECMWF,northwest_india,2026-02-12,daily,16,Week 3,-0.598245568520713,23.999133295452236,-7.62942673830173,-3.031431200616672,0.027496211405119486,16.78943641984689,10.06365510179571,5716.377969389447,5724.0073961277485,1.6683239091581212
JFM2026,Z500,ECMWF,northwest_india,2026-02-19,daily,16,Week 3,-0.0986941961172904,87.92432512183996,-86.3093241778262,0.44254798971910836,0.04035049410096947,1.779018625935003,16.37958016558014,5757.555129498881,5843.864453676708,0.10861197954715665
JFM2026,Z500,ECMWF,northwest_india,2026-02-26,daily,16,Week 3,0.7311623809573614,19.27373516039503,-16.703237704167606,0.5459625930273541,0.8008237685429648,9.329597097726566,12.410139242164139,5749.60721173883,5766.310449442998,0.7517721530495597
