method,initialization,lead_week,region,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,valid_area_weight,valid_cells
cma,2025-06-09,1,south_peninsula,0.6985361824,13.14547769,8.359966322,7.739690254,0.03036919394,0,517384.5263,34
cma,2025-06-09,1,east_northeast_india,0.7959805315,3.414012488,2.419832498,-0.626724294,-0.2197442125,0,476733.6896,35
cma,2025-06-09,2,india,0.0304681539,12.29214022,7.599463122,-1.811976237,-0.04506637455,0,3207490.246,171
cma,2025-06-09,2,northwest_india,-0.3310274743,7.000897665,4.870651126,-3.292191949,-0.1934725535,0,1124851.459,68
cma,2025-06-09,2,central_india,0.2057661198,15.71900127,9.96200907,-1.895407776,-0.1266953009,0,1088520.578,67
cma,2025-06-09,2,south_peninsula,0.07156530265,9.49080985,5.588553692,3.421289583,0.4077979908,0,517384.5263,34
cma,2025-06-09,2,east_northeast_india,-0.3303558744,15.46010513,10.82609005,-3.808418015,0,0,476733.6896,35
cma,2025-06-09,3,india,0.4111515984,5.93683015,4.626316642,-0.7848511574,0.01982566567,0,3207490.246,171
cma,2025-06-09,3,northwest_india,0.3228050435,5.585433803,4.367721393,-2.191860296,-0.1267755317,0,1124851.459,68
cma,2025-06-09,3,central_india,0.1027455578,6.355241027,4.893975791,-0.3018109589,0.0238592262,0,1088520.578,67
cma,2025-06-09,3,south_peninsula,-0.01413634859,5.741967021,4.412084707,2.171500711,0.3483347554,0,517384.5263,34
cma,2025-06-09,3,east_northeast_india,0.6190346297,5.960354913,4.857827572,-1.776376709,0,0,476733.6896,35
cma,2025-06-09,4,india,0.08807705832,8.662766184,6.406329603,-0.9501732467,0.04959533718,0,3207490.246,171
cma,2025-06-09,4,northwest_india,0.2695253957,4.506885676,3.347336291,-0.5336817978,0.03208189935,0,1124851.459,68
cma,2025-06-09,4,central_india,-0.4567386074,12.28516259,10.14915489,-2.436224944,0,0,1088520.578,67
cma,2025-06-09,4,south_peninsula,0.1407623998,7.05942388,5.606865653,4.072934838,0.2201044088,0,517384.5263,34
cma,2025-06-09,4,east_northeast_india,0.3005739105,7.634134341,5.945697256,-3.991224416,0.0191104045,0,476733.6896,35
cma,2025-06-09,5,india,0.05545216355,8.580530913,6.376109223,0.1028375575,0.03972864059,0,3207490.246,171
cma,2025-06-09,5,northwest_india,-0.2278594201,8.075735648,5.723963264,-0.6670799376,-0.02993630682,0,1124851.459,68
cma,2025-06-09,5,central_india,0.1552017004,9.491404531,6.455667659,-3.611420767,0,0,1088520.578,67
cma,2025-06-09,5,south_peninsula,0.3943348666,6.586821645,5.747577483,4.344088918,0.2657791819,0,517384.5263,34
cma,2025-06-09,5,east_northeast_india,0.3919543129,9.41786419,8.415316771,5.797277945,0.04948903339,0,476733.6896,35
cma,2025-06-09,6,india,0.07107449607,7.114157372,5.591709454,-0.02640057338,-0.03429479758,0,3207490.246,171
cma,2025-06-09,6,northwest_india,-0.06648942913,7.107774982,5.412309721,-2.284908223,-0.1425270203,0,1124851.459,68
cma,2025-06-09,6,central_india,-0.1344245406,7.686689566,6.45035513,3.067649186,0,0,1088520.578,67
cma,2025-06-09,6,south_peninsula,-0.1096429277,6.624471935,4.590787929,1.546029493,0.09172883257,0,517384.5263,34
cma,2025-06-09,6,east_northeast_india,0.6105267567,6.227212334,5.140736241,-3.468578541,0.006004231522,0,476733.6896,35
cma,2025-06-12,1,india,0.3551214873,20.66470085,8.976920139,2.918056605,-0.2486568124,0,3207490.246,171
cma,2025-06-12,1,northwest_india,-0.09680283757,4.040935933,3.169284379,-2.37509916,-0.5076803638,0,1124851.459,68
cma,2025-06-12,1,central_india,0.3435696717,16.75947548,9.76057071,2.866646157,-0.2666590941,0,1088520.578,67
cma,2025-06-12,1,south_peninsula,0.5645098956,43.96236175,21.73080962,21.14789229,0.1402594787,0,517384.5263,34
cma,2025-06-12,1,east_northeast_india,-0.1144872814,9.784313008,7.049308871,-4.25966062,-0.01846623593,0,476733.6896,35
cma,2025-06-12,2,india,0.2823155439,6.76269446,4.744489668,-1.570813174,-0.05675111017,0,3207490.246,171
cma,2025-06-12,2,northwest_india,0.1673956904,5.81252456,3.808694603,-1.744616395,-0.1239114487,0,1124851.459,68
cma,2025-06-12,2,central_india,0.2149739998,7.896191347,5.661176771,-1.134430946,0.00550699309,0,1088520.578,67
cma,2025-06-12,2,south_peninsula,-0.2595564784,6.033016014,3.875125872,-1.916744629,-0.09401350703,0,517384.5263,34
cma,2025-06-12,2,east_northeast_india,0.4933491335,6.791239055,5.802927627,-1.781682754,0,0,476733.6896,35
cma,2025-06-12,3,india,0.1142384179,9.945014842,7.058944089,0.7232954014,0.08820261749,0,3207490.246,171
cma,2025-06-12,3,northwest_india,-0.06810134962,6.846486868,5.301239985,-3.329392422,0.1099290651,0,1124851.459,68
cma,2025-06-12,3,central_india,-0.375317833,14.1690034,10.60992564,4.867267849,0.0238592262,0,1088520.578,67
cma,2025-06-12,3,south_peninsula,-0.1124403352,6.964051975,5.170352342,2.728532018,0.2194244104,0,517384.5263,34
cma,2025-06-12,3,east_northeast_india,0.5554261363,6.618085661,5.147956194,-1.352508993,0.04144266091,0,476733.6896,35
cma,2025-06-12,4,india,-0.1028992901,9.521248004,6.327271887,-2.447274271,0.07787058167,0,3207490.246,171
cma,2025-06-12,4,northwest_india,-0.1660542919,6.520422163,4.70750572,0.2257644568,0.04967930184,0,1124851.459,68
cma,2025-06-12,4,central_india,-0.1748450951,13.77886127,9.742892517,-8.438806789,-0.01376748254,0,1088520.578,67
cma,2025-06-12,4,south_peninsula,-0.314762565,5.245633675,3.526295454,0.8707405366,0.3743621714,0,517384.5263,34
cma,2025-06-12,4,east_northeast_india,0.5070247037,6.800637017,5.390071194,1.325157701,0.03185067445,0,476733.6896,35
cma,2025-06-12,5,india,0.3933064444,6.555704769,4.998911184,-0.1041909279,0.0228841869,0,3207490.246,171
cma,2025-06-12,5,northwest_india,0.2076250334,6.188923794,5.062204214,-2.76823992,-0.09418842873,0,1124851.459,68
cma,2025-06-12,5,central_india,0.4463428328,7.057011887,5.180338467,0.9914529383,0.01906204965,0,1088520.578,67
cma,2025-06-12,5,south_peninsula,0.0749734873,6.245604298,4.029367326,2.551196065,0.3065406034,0,517384.5263,34
cma,2025-06-12,5,east_northeast_india,0.6303631408,6.537077194,5.487536986,0.7981416217,0,0,476733.6896,35
cma,2025-06-12,6,india,0.00332714111,7.462530826,5.798789618,0.01555452757,-0.03475712008,0,3207490.246,171
cma,2025-06-12,6,northwest_india,0.002969262263,6.563180316,5.130817046,0.4530907899,-0.1413006143,0,1124851.459,68
cma,2025-06-12,6,central_india,0.1276182724,6.44655696,4.643960067,-1.278813306,0,0,1088520.578,67
cma,2025-06-12,6,south_peninsula,0.07594405062,8.951715477,7.115824742,-6.085229035,0.09172883257,0,517384.5263,34
cma,2025-06-12,6,east_northeast_india,0.4060110536,9.549331685,8.582339641,8.55959879,0,0,476733.6896,35
cma,2025-06-16,1,india,0.3127466587,7.75330558,5.439284375,-0.9668783271,0.01747540727,0,3207490.246,171
cma,2025-06-16,1,northwest_india,-0.08495295926,6.592780018,4.745576608,-2.190632354,-0.05311950925,0,1124851.459,68
cma,2025-06-16,1,central_india,0.4590238662,8.044489997,6.000778252,-1.246695144,0.02413956476,0,1088520.578,67
cma,2025-06-16,1,south_peninsula,-0.0149301804,5.385785154,2.940580397,-0.026360686,0.1730383123,0,517384.5263,34
cma,2025-06-16,1,east_northeast_india,0.1953404407,11.07489328,8.505800101,1.538752374,0,0,476733.6896,35
cma,2025-06-16,2,india,0.3039437081,6.498147764,5.034643175,0.09357947318,0.02918191853,0,3207490.246,171
cma,2025-06-16,2,northwest_india,0.2917960543,5.196372375,4.071176239,-1.459575695,-0.09476724759,0,1124851.459,68
cma,2025-06-16,2,central_india,0.1892157055,7.031643508,5.78115428,0.3105006326,0.01835223311,0,1088520.578,67
cma,2025-06-16,2,south_peninsula,-0.2860990113,7.197775697,5.726531541,0.4306718289,0.3483347554,0,517384.5263,34
cma,2025-06-16,2,east_northeast_india,0.5198800749,7.160025494,4.852554419,2.897113953,0,0,476733.6896,35
cma,2025-06-16,3,india,0.01112931411,8.8867779,6.321925757,-2.340465111,0.04285670041,0,3207490.246,171
cma,2025-06-16,3,northwest_india,-0.06205277535,5.988919551,4.454295756,-0.540102046,0.01286681854,0,1124851.459,68
cma,2025-06-16,3,central_india,-0.2612217962,11.8661254,8.630282603,-5.964579986,0,0,1088520.578,67
cma,2025-06-16,3,south_peninsula,-0.09151278514,6.949090499,4.864057217,2.318317497,0.2201044088,0,517384.5263,34
cma,2025-06-16,3,east_northeast_india,0.1722083616,8.533034156,7.040127595,-3.369550005,0.0191104045,0,476733.6896,35
cma,2025-06-16,4,india,0.1460411722,8.403877558,6.290775582,0.1011153252,0.01719341429,0,3207490.246,171
cma,2025-06-16,4,northwest_india,-0.1362103478,6.898128617,5.054016958,-3.348043051,-0.09419503001,0,1124851.459,68
cma,2025-06-16,4,central_india,-0.07483830237,10.69069916,8.412722631,1.176858143,0,0,1088520.578,67
cma,2025-06-16,4,south_peninsula,0.3648577054,7.474114634,5.765886262,5.273689824,0.2657791819,0,517384.5263,34
cma,2025-06-16,4,east_northeast_india,0.5935181882,6.427287249,4.933532133,0.1695237302,0.04948903339,0,476733.6896,35
cma,2025-06-16,5,india,-0.01964280686,7.373179243,5.493388414,-0.4995693681,-0.05422927815,0,3207490.246,171
cma,2025-06-16,5,northwest_india,-0.3263288763,8.346581039,6.534849464,-2.676176576,-0.1993697718,0,1124851.459,68
cma,2025-06-16,5,central_india,-0.06743492543,7.40020893,5.632107496,1.955624587,0,0,1088520.578,67
cma,2025-06-16,5,south_peninsula,-0.2541275289,6.757298342,4.255257265,-1.824579997,0.09172883257,0,517384.5263,34
cma,2025-06-16,5,east_northeast_india,0.6200678916,5.176157038,4.063034978,0.4682049688,0.006004231522,0,476733.6896,35
cma,2025-06-16,6,india,-0.2406927874,8.130798855,6.03169665,-1.958338054,0.05748307731,0,3207490.246,171
cma,2025-06-16,6,northwest_india,-0.2373177372,6.7519362,4.822438416,1.245986915,0.08730573462,0,1124851.459,68
cma,2025-06-16,6,central_india,-0.05777633063,9.693861197,7.925451455,-6.306353026,0.01400006406,0,1088520.578,67
