method,region,aggregation,cases,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,lead_week
dlesym_v0,central_india,by_lead,35,0.4410802384,5.680361568,3.950144408,-1.773170091,0.006641240016,0,1
dlesym_v0,central_india,by_lead,35,0.149483433,7.027495784,5.11238728,-1.681186492,-0.01814625706,0,2
dlesym_v0,central_india,by_lead,35,0.1059207394,7.619408248,5.611227048,-2.933016771,-0.05727727697,0,3
dlesym_v0,central_india,by_lead,35,0.04563831522,7.934961832,5.901696696,-3.121411498,-0.08139985514,0,4
dlesym_v0,central_india,by_lead,35,0.07705412916,7.300569613,5.502001273,-3.446406738,-0.1005297495,0,5
dlesym_v0,central_india,by_lead,35,0.02423062398,7.025216257,5.383265108,-2.888157,-0.08577108769,0,6
dlesym_v0,east_northeast_india,by_lead,35,0.403006319,5.649259105,4.657995832,2.57994917,0.04342178753,0,1
dlesym_v0,east_northeast_india,by_lead,35,0.2995280109,6.458011145,5.355431216,2.779676267,0.03830387959,0,2
dlesym_v0,east_northeast_india,by_lead,35,0.1471647016,7.693484527,6.375517294,3.777768378,0.05328845669,0,3
dlesym_v0,east_northeast_india,by_lead,35,0.01460921704,8.010326451,6.829719226,4.111688589,0.07166437062,0,4
dlesym_v0,east_northeast_india,by_lead,35,0.03311234832,7.246492797,6.052171909,3.39628584,0.06704692331,0,5
dlesym_v0,east_northeast_india,by_lead,35,-0.008784102151,6.578418894,5.470035019,2.20547811,0.07821698947,0,6
dlesym_v0,india,by_lead,35,0.428651774,5.500332893,3.816208131,-0.1463770534,0.07017749509,0,1
dlesym_v0,india,by_lead,35,0.1923615468,6.631079968,4.686277599,-0.4868126383,0.02825477022,0,2
dlesym_v0,india,by_lead,35,0.05558396345,7.257472122,5.167148763,-1.127090685,-0.004444350341,0,3
dlesym_v0,india,by_lead,35,-0.0504182623,7.361410832,5.327085972,-1.386469698,-0.02624813096,0,4
dlesym_v0,india,by_lead,35,-0.006581572875,7.011728738,5.035996299,-1.351042172,-0.01786622359,0,5
dlesym_v0,india,by_lead,35,-0.008535299719,6.647003895,4.856689988,-1.203778066,0.01122254657,0,6
dlesym_v0,northwest_india,by_lead,35,0.3502775617,4.66886155,3.537638148,1.024865124,0.1584003506,0,1
dlesym_v0,northwest_india,by_lead,35,0.1558988193,5.638700938,4.199522118,0.4099190342,0.1058922371,0,2
dlesym_v0,northwest_india,by_lead,35,-0.000994068641,6.040521251,4.567982629,-0.3595657147,0.06528290781,0,3
dlesym_v0,northwest_india,by_lead,35,-0.03334274345,5.713260431,4.260568537,-0.8573072008,0.03802280513,0,4
dlesym_v0,northwest_india,by_lead,35,-0.05318908878,5.600442337,4.196296771,-0.3029830846,0.0182490364,0,5
dlesym_v0,northwest_india,by_lead,35,-0.01291861742,5.378624506,4.044616239,-0.5036436969,0.05190860052,0,6
dlesym_v0,south_peninsula,by_lead,35,0.2150274699,5.323313402,3.364414376,-1.782311825,0.03669806403,0,1
dlesym_v0,south_peninsula,by_lead,35,0.08498902974,6.271995007,4.231471548,-2.933416006,-0.05217456563,0,2
dlesym_v0,south_peninsula,by_lead,35,0.04248871686,6.392668722,4.42208311,-3.51578878,-0.09808119436,0,3
dlesym_v0,south_peninsula,by_lead,35,-0.02908598648,7.011281305,5.052323603,-3.952968255,-0.1401666079,0,4
dlesym_v0,south_peninsula,by_lead,35,-0.02552375891,6.820510997,4.944837965,-3.595551779,-0.0007113072895,0,5
dlesym_v0,south_peninsula,by_lead,35,-0.01734080202,6.537227605,4.949217398,-2.323589889,0.06509986641,0,6
ecmwf,central_india,by_lead,35,0.6135823893,4.983909791,3.697521247,1.014450307,0.02427741318,0,1
