provider,product_hint,season_hint,year,init_date,mmdd,forecast_type,variable,level,file_path,extension,size_bytes,nonempty
ecmwf,forecast,jjas,2025,2025-06-13,0613,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250613_pf.nc,.nc,6041128,True
ecmwf,forecast,jjas,2025,2025-06-01,0601,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250601_pf.nc,.nc,6054920,True
ecmwf,forecast,jjas,2025,2025-08-07,0807,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250807_pf.nc,.nc,5961263,True
ecmwf,forecast,jjas,2025,2025-09-08,0908,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250908_pf.nc,.nc,5931631,True
ecmwf,forecast,jjas,2025,2025-08-18,0818,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250818_cf.nc,.nc,87639,True
ecmwf,forecast,jjas,2025,2025-06-03,0603,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250603_pf.nc,.nc,6047085,True
ecmwf,forecast,jjas,2025,2025-06-30,0630,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250630_cf.nc,.nc,88684,True
ecmwf,forecast,jjas,2025,2025-09-25,0925,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250925_pf.nc,.nc,5926332,True
ecmwf,forecast,jjas,2025,2025-07-31,0731,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250731_cf.nc,.nc,87604,True
ecmwf,forecast,jjas,2025,2025-06-18,0618,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250618_cf.nc,.nc,88649,True
ecmwf,forecast,jjas,2025,2025-07-28,0728,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250728_pf.nc,.nc,5967854,True
ecmwf,forecast,jjas,2025,2025-09-08,0908,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250908_cf.nc,.nc,87799,True
ecmwf,forecast,jjas,2025,2025-09-15,0915,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250915_pf.nc,.nc,5932103,True
ecmwf,forecast,jjas,2025,2025-09-15,0915,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250915_cf.nc,.nc,87758,True
ecmwf,forecast,jjas,2025,2025-07-06,0706,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250706_cf.nc,.nc,88778,True
ecmwf,forecast,jjas,2025,2025-06-21,0621,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250621_pf.nc,.nc,6021586,True
ecmwf,forecast,jjas,2025,2025-06-19,0619,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250619_pf.nc,.nc,6029263,True
ecmwf,forecast,jjas,2025,2025-06-29,0629,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250629_pf.nc,.nc,6022849,True
ecmwf,forecast,jjas,2025,2025-08-07,0807,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250807_cf.nc,.nc,87670,True
ecmwf,forecast,jjas,2025,2025-06-13,0613,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250613_cf.nc,.nc,88498,True
ecmwf,forecast,jjas,2025,2025-07-21,0721,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250721_pf.nc,.nc,6002690,True
ecmwf,forecast,jjas,2025,2025-06-20,0620,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250620_pf.nc,.nc,6030104,True
ecmwf,forecast,jjas,2025,2025-06-04,0604,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250604_pf.nc,.nc,6054948,True
ecmwf,forecast,jjas,2025,2025-06-20,0620,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250620_cf.nc,.nc,89064,True
ecmwf,forecast,jjas,2025,2025-07-07,0707,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250707_cf.nc,.nc,88513,True
ecmwf,forecast,jjas,2025,2025-07-28,0728,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250728_cf.nc,.nc,88461,True
ecmwf,forecast,jjas,2025,2025-07-10,0710,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250710_pf.nc,.nc,6017072,True
ecmwf,forecast,jjas,2025,2025-07-01,0701,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250701_cf.nc,.nc,88456,True
ecmwf,forecast,jjas,2025,2025-08-25,0825,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250825_cf.nc,.nc,88324,True
ecmwf,forecast,jjas,2025,2025-08-18,0818,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250818_pf.nc,.nc,5936046,True
ecmwf,forecast,jjas,2025,2025-06-09,0609,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250609_pf.nc,.nc,6032641,True
ecmwf,forecast,jjas,2025,2025-06-12,0612,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250612_pf.nc,.nc,6041342,True
ecmwf,forecast,jjas,2025,2025-09-22,0922,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250922_cf.nc,.nc,87869,True
ecmwf,forecast,jjas,2025,2025-09-04,0904,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250904_pf.nc,.nc,5924164,True
ecmwf,forecast,jjas,2025,2025-06-07,0607,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250607_pf.nc,.nc,6030644,True
ecmwf,forecast,jjas,2025,2025-06-16,0616,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250616_pf.nc,.nc,6033229,True
ecmwf,forecast,jjas,2025,2025-07-03,0703,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250703_pf.nc,.nc,6005834,True
ecmwf,forecast,jjas,2025,2025-07-31,0731,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250731_pf.nc,.nc,5958757,True
ecmwf,forecast,jjas,2025,2025-09-04,0904,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250904_cf.nc,.nc,87387,True
ecmwf,forecast,jjas,2025,2025-07-21,0721,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250721_cf.nc,.nc,87753,True
ecmwf,forecast,jjas,2025,2025-08-28,0828,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250828_cf.nc,.nc,87458,True
ecmwf,forecast,jjas,2025,2025-09-29,0929,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250929_pf.nc,.nc,5914063,True
ecmwf,forecast,jjas,2025,2025-07-09,0709,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250709_cf.nc,.nc,88742,True
ecmwf,forecast,jjas,2025,2025-07-17,0717,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250717_cf.nc,.nc,88661,True
ecmwf,forecast,jjas,2025,2025-06-25,0625,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250625_cf.nc,.nc,88547,True
ecmwf,forecast,jjas,2025,2025-07-04,0704,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250704_cf.nc,.nc,88296,True
ecmwf,forecast,jjas,2025,2025-06-15,0615,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250615_pf.nc,.nc,6032333,True
ecmwf,forecast,jjas,2025,2025-07-24,0724,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250724_cf.nc,.nc,88106,True
ecmwf,forecast,jjas,2025,2025-06-14,0614,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250614_pf.nc,.nc,6033204,True
ecmwf,forecast,jjas,2025,2025-09-25,0925,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250925_cf.nc,.nc,87592,True
ecmwf,forecast,jjas,2025,2025-06-23,0623,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250623_cf.nc,.nc,88589,True
ecmwf,forecast,jjas,2025,2025-08-11,0811,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250811_pf.nc,.nc,5962270,True
ecmwf,forecast,jjas,2025,2025-09-22,0922,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250922_pf.nc,.nc,5949429,True
