variable,region,week,lead_week,model,n,pcc_mean,pcc_std,rmse_mean,rmse_std,bias_mean,bias_std,obs_mean,fcst_mean
Z500,All India,Week 4,4,ECMWF,12,0.6242344211875125,0.3996539245965438,9.572998105470516,5.085770487692629,-0.4154931110974485,7.773354724876132,5850.141389804711,5849.725896693614
Z500,All India,Week 4,4,FuXi,12,0.6031665878090948,0.26101856702057313,12.737531290679426,4.9504979529923965,-5.176773157070998,9.77704086126459,5850.141389804711,5844.964616647641
Z500,All India,Week 5,5,ECMWF,12,0.711961263088572,0.30281552905843934,10.22334252713642,4.524227672510923,-0.6034842914369228,8.742725954638262,5851.543587618755,5850.940103327317
Z500,All India,Week 5,5,FuXi,12,0.6385498258131957,0.21215592500920294,11.613434937104424,4.344474593900459,-3.663467463643725,8.946705186426453,5851.543587618755,5847.8801201551105
Z500,All India,Week 6,6,ECMWF,12,0.7655272724359811,0.19724088929464323,9.861738369106513,3.887001163594166,1.6499574793191105,7.720999079909611,5851.230657732871,5852.880615212191
Z500,All India,Week 6,6,FuXi,12,0.6324884727900494,0.21348934256349536,11.52351733695478,4.459301423315653,-1.289626524933768,9.070516792728442,5851.230657732871,5849.941031207937
Z500,central_india,Week 1,1,ECMWF,12,0.7700988146027375,0.2092871322193453,5.911637530815973,2.725280253057676,-3.6873477612375005,4.456764530237999,5847.098515562485,5843.411167801248
Z500,central_india,Week 1,1,FuXi,12,0.8210933275163441,0.2505962609855721,3.7801231578204866,1.7798482675443348,-1.134615491820284,3.5266042962700865,5847.098515562485,5845.963900070664
Z500,central_india,Week 2,2,ECMWF,12,0.6896339921404747,0.3666858383176763,8.035083351419221,4.278471122122676,-1.0939539099845004,8.314251935173665,5840.604009844657,5839.510055934672
Z500,central_india,Week 2,2,FuXi,12,0.6822559759774266,0.32725235486159865,7.73436218455911,3.66278599179814,0.43490750128389144,7.838990440096432,5840.604009844657,5841.038917345941
Z500,central_india,Week 3,3,ECMWF,12,0.5810949631953407,0.39365562551151834,9.531582550918829,5.210905146438916,-3.4078138312303827,9.685920552048408,5843.556368468708,5840.148554637478
Z500,central_india,Week 3,3,FuXi,12,0.5459733527242265,0.433759526691447,10.187312686212882,6.0346615988242975,-4.608006394093017,10.207813581440634,5843.556368468708,5838.948362074614
Z500,central_india,Week 4,4,ECMWF,12,0.5026903434250652,0.3568232642444108,10.948150360998874,6.937659415405812,-1.5059769817711424,12.548294316841663,5845.724335015583,5844.218358033812
Z500,central_india,Week 4,4,FuXi,12,0.5953168068725675,0.2621829996238763,13.923599518828494,7.365852446274382,-6.137587000185825,14.198568680930432,5845.724335015583,5839.586748015397
Z500,central_india,Week 5,5,ECMWF,12,0.5698912708370071,0.42981940639664135,11.52292566591045,6.95268771519211,0.9993472450966167,13.10468937259043,5844.576643904802,5845.5759911499
Z500,central_india,Week 5,5,FuXi,12,0.6967607742972405,0.24351475800864708,11.111236289531789,7.744154196907593,-1.417615277345476,13.273952541321838,5844.576643904802,5843.159028627458
Z500,central_india,Week 6,6,ECMWF,12,0.7218368440782074,0.3088833064778243,10.417111812027843,5.789028695219882,4.6496787223143,10.447376475627394,5843.160282069896,5847.8099607922095
Z500,central_india,Week 6,6,FuXi,12,0.6772668570559737,0.34592229884760095,10.562278388518953,7.153766196258847,2.557504248465914,12.16026409969784,5843.160282069896,5845.7177863183615
Z500,east_northeast_india,Week 1,1,ECMWF,12,0.8520837648503262,0.27519724786739536,4.518963499635867,2.480927657665644,-0.861452493633066,4.622914535539408,5850.564348580369,5849.702896086736
Z500,east_northeast_india,Week 1,1,FuXi,12,0.945167347656071,0.07334514323949476,3.8761768947215867,1.7650020449111645,-2.1649453300260597,3.1980329278525006,5850.564348580369,5848.399403250343
Z500,east_northeast_india,Week 2,2,ECMWF,12,0.8131715201677089,0.3136970743682849,7.070792969115943,3.50113844370802,2.462965441894234,6.589502850433046,5846.995255887501,5849.458221329395
Z500,east_northeast_india,Week 2,2,FuXi,12,0.8049813211468986,0.3867285488786193,5.62584846552373,3.0789000505262054,0.9403487984624365,5.136285562440947,5846.995255887501,5847.935604685964
Z500,east_northeast_india,Week 3,3,ECMWF,12,0.6467708944585837,0.49164302398069404,8.895666679532583,4.5785158724758315,0.44628686518892674,8.900915916707767,5850.582027691132,5851.02831455632
Z500,east_northeast_india,Week 3,3,FuXi,12,0.6982255054526236,0.47843036340992273,9.279149769516225,5.342022216546508,-2.873726405714052,9.511527048445938,5850.582027691132,5847.708301285417
Z500,east_northeast_india,Week 4,4,ECMWF,12,0.7036729277180872,0.5132022027334171,8.03169005176675,4.119211721763469,-0.4615515369426125,7.858932159793826,5856.41403361253,5855.952482075587
Z500,east_northeast_india,Week 4,4,FuXi,12,0.698997306029753,0.4674104082494641,11.8626159270761,5.765974129232438,-6.401517364582316,10.71560633906061,5856.41403361253,5850.012516247948
Z500,east_northeast_india,Week 5,5,ECMWF,12,0.8983215674266768,0.3004209660228844,9.144297342477733,4.2063555758019655,-2.4094669795160653,9.06440814652209,5859.751640482751,5857.342173503234
Z500,east_northeast_india,Week 5,5,FuXi,12,0.8303192118729866,0.3012604690387881,12.465501206934219,4.9791838266124255,-7.4942919059465325,9.840218469670765,5859.751640482751,5852.257348576804
Z500,east_northeast_india,Week 6,6,ECMWF,12,0.9624488183555363,0.05160083442018991,8.74509102898146,3.3812468831725706,-0.07687385520669832,8.805290322592636,5859.893379380305,5859.8165055251
Z500,east_northeast_india,Week 6,6,FuXi,12,0.8781401664111813,0.08117478868260458,10.406703920240458,5.318951608651415,-4.415663627359007,9.367246952153314,5859.893379380305,5855.477715752947
Z500,northwest_india,Week 1,1,ECMWF,12,0.8624679570806529,0.12074629164150111,6.674458092435582,2.4375664531563115,-2.6384328188115673,5.336772990121066,5843.4978180047,5840.85938518589
Z500,northwest_india,Week 1,1,FuXi,12,0.9160522909833141,0.0839272505846283,4.56739248933972,2.1425120914283924,-1.3965474454216877,4.1051115863190555,5843.4978180047,5842.101270559279
Z500,northwest_india,Week 2,2,ECMWF,12,0.7350236957510529,0.19621619159308157,8.842636895065745,5.726354790123577,2.1734412074469147,8.332314841141502,5842.897118259784,5845.070559467232
Z500,northwest_india,Week 2,2,FuXi,12,0.6730972748919051,0.35046799903694076,8.113444974399115,4.543048229929584,1.3091252514197957,7.883579933339936,5842.897118259784,5844.206243511205
Z500,northwest_india,Week 3,3,ECMWF,12,0.561574958603276,0.5052300290187702,9.363977516225452,5.1391224458243565,1.2239858793883993,7.740231758492115,5846.5021697206985,5847.726155600086
Z500,northwest_india,Week 3,3,FuXi,12,0.46704099957824347,0.35195031726875237,10.651692973438777,4.597228486123875,-1.9270530721554537,9.487684262686326,5846.5021697206985,5844.5751166485425
Z500,northwest_india,Week 4,4,ECMWF,12,0.4063749287414735,0.5035145991628879,8.676947576067526,4.305796149204186,2.1917656577998517,6.048771351405955,5850.418734754015,5852.610500411814
Z500,northwest_india,Week 4,4,FuXi,12,0.42477026663218725,0.360425353170197,12.15027928634039,4.399709803421465,-4.13714579878808,10.554409115914893,5850.418734754015,5846.281588955226
Z500,northwest_india,Week 5,5,ECMWF,12,0.5396592735838847,0.3366356508565267,9.782781245371714,3.7460068588552353,-1.4477668889882758,8.633678689387583,5854.995186341526,5853.547419452538
Z500,northwest_india,Week 5,5,FuXi,12,0.1854352392515726,0.5705244232602372,12.402640002866939,4.171350382345089,-6.390893416879165,8.576169990698311,5854.995186341526,5848.604292924647
Z500,northwest_india,Week 6,6,ECMWF,12,0.6308211931656155,0.3627255207231385,9.434730362805817,4.553835204338163,-0.5319832974373288,8.562555143555546,5855.602726902427,5855.070743604989
Z500,northwest_india,Week 6,6,FuXi,12,0.3272386982231937,0.4709796642558277,12.268204768538766,5.674330048583583,-4.9032864852948554,9.9462022163396,5855.602726902427,5850.699440417131
Z500,south_peninsula,Week 1,1,ECMWF,12,0.7569852496574114,0.3777284459890548,7.363790898216354,2.810411955785461,-6.572062081456331,3.717297754141861,5855.513761174737,5848.94169909328
Z500,south_peninsula,Week 1,1,FuXi,12,0.8572095493948985,0.28952926354712005,2.821534284978002,1.8215348262962356,-2.0942899037491176,2.140737199772228,5855.513761174737,5853.419471270987
