year,fuxi_init,ecmwf_init,valid_start,valid_end,model,variable,region,week,fuxi_lead_start,fuxi_lead_end,ecmwf_lead_start,ecmwf_lead_end,pcc,rmse,bias,obs_mean,fcst_mean
2019,2019-06-20,2019-06-18,2019-07-19,2019-07-25,ECMWF,Z500,east_northeast_india,Week 5,29,35,31,37,-0.055151832976492475,19.07963763034249,-17.3176696153144,5863.499125629737,5846.181456014422
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,TP,All India,Week 6,36,42,34,40,0.43480418719973396,8.514230141107516,-4.058523153860034,12.771018086760957,8.712494932900924
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,TP,northwest_india,Week 6,36,42,34,40,0.38741455243831935,5.752322613808499,-2.7075587301548576,9.36646345505721,6.65890472490235
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,TP,central_india,Week 6,36,42,34,40,0.20475414646371493,11.850530379869534,-8.698131581571374,19.244085322857828,10.545953741286455
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,TP,south_peninsula,Week 6,36,42,34,40,0.2544855419328642,8.297397990561391,-2.0564892311709944,7.627461621036625,5.57097238986563
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,TP,east_northeast_india,Week 6,36,42,34,40,0.761769771928668,2.7980667359171294,1.1016987076478688,11.815671090441608,12.917369798089476
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,TP,All India,Week 6,36,42,34,40,0.46605927767865424,7.752311788379814,-2.404821973861314,12.771018086760957,10.366196112899644
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,TP,northwest_india,Week 6,36,42,34,40,0.5834266765445651,4.594462361969084,-1.0290421691902278,9.36646345505721,8.337421285866979
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,TP,central_india,Week 6,36,42,34,40,0.2857867501584347,10.22162815007595,-6.670206100049667,19.244085322857828,12.573879222808163
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,TP,south_peninsula,Week 6,36,42,34,40,0.10234826468284285,8.936401544005136,-1.2571904354383756,7.627461621036625,6.37027118559825
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,ECMWF,TP,east_northeast_india,Week 6,36,42,34,40,0.5677545038970745,4.386649950669832,2.9092544656541452,11.815671090441608,14.724925556095751
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,Z500,All India,Week 6,36,42,34,40,0.9177488593895872,5.713715581227248,-0.0854933010018543,5846.499665662234,5846.414172361232
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,Z500,northwest_india,Week 6,36,42,34,40,0.46403684456056654,6.321937042509403,-3.0969536779582634,5853.390727502445,5850.293773824486
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,Z500,central_india,Week 6,36,42,34,40,0.9478636531249932,5.55348812989704,4.94134099825926,5835.357919272058,5840.299260270317
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,Z500,south_peninsula,Week 6,36,42,34,40,0.9684713918940185,4.37692879873928,-0.3040182560505933,5849.777442627234,5849.473424371184
2019,2019-06-20,2019-06-22,2019-07-26,2019-08-01,FuXi,Z500,east_northeast_india,Week 6,36,42,34,40,0.989072177611774,6.1293634959594865,-4.723236558588273,5852.830452335298,5848.107215776709
