season,variable,model,region,init_date,scale,lead,week,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JJAS2019,TP,Persistence,east_northeast_india,2019-06-06,daily,24,Week 4,0.6340707572724282,6.266672681841192,-1.6987617830709583,0.7048672280360041,0.0,5.914508719851574,7.683168742310942,5.30246502952617,7.001226812597128,0.769800705701097
JJAS2019,TP,Persistence,east_northeast_india,2019-06-09,daily,24,Week 4,0.6220879566629828,4.214164909117413,-1.654887123103462,0.7938495415518364,0.0,4.2038464055545495,4.661447471775057,6.142217895810245,7.797105018913707,0.9018328386212072
JJAS2019,TP,Persistence,east_northeast_india,2019-06-13,daily,24,Week 4,-0.2456306302264835,30.831775001062372,-20.563340827993777,-0.8354947772998262,0.0,9.33542129810298,18.822223401907458,8.167231038152405,28.73057186614619,0.495978668341431
JJAS2019,TP,Persistence,east_northeast_india,2019-06-16,daily,24,Week 4,-0.03824838515525926,39.70768789083419,-29.87281691543843,-0.38547917059860737,0.0,9.609852553103288,23.9655667436568,9.776666664713519,39.64948358015195,0.4009858250336108
JJAS2019,TP,Persistence,east_northeast_india,2019-06-20,daily,24,Week 4,0.6617237505925432,11.380251807542583,-4.692149032719538,0.28728527226825884,0.0,6.39009543941054,13.423072771038894,9.772733303900555,14.464882336620095,0.47605310262472567
JJAS2019,TP,Persistence,east_northeast_india,2019-06-23,daily,24,Week 4,0.4783849200145224,8.918928671198186,6.55744122615023,0.4925329992763754,0.0,5.877674401135195,5.9592285394882145,11.067597849880375,4.510156623730145,0.9863146483118395
JJAS2019,TP,Persistence,east_northeast_india,2019-06-27,daily,24,Week 4,0.5173036565169851,9.172179858273983,1.7050967965531179,0.32839948222041615,0.0,6.887494780272815,10.380432175995601,12.753238970745263,11.048142174192147,0.6635075171725425
JJAS2019,TP,Persistence,east_northeast_india,2019-06-30,daily,24,Week 4,-0.08725331078783098,20.939549176282803,-12.197427924137276,-0.5194137593381478,0.0,7.937218138415401,14.379533693067053,11.800777528570684,23.99820545270796,0.5519802177063815
JJAS2019,TP,Persistence,east_northeast_india,2019-07-04,daily,24,Week 4,0.5724888255453474,7.752824029501657,-3.3331006110917643,0.17484858988967422,0.0,4.087287794588189,8.485335906376319,10.335061156408438,13.668161767500202,0.48168839038143324
JJAS2019,TP,Persistence,east_northeast_india,2019-07-07,daily,24,Week 4,-0.1810552607390076,11.000872055066237,0.7242636165113047,-0.16618791402906852,0.0,3.2893570951425337,9.893936684544856,12.61252515015022,11.888261533638913,0.33246191076609377
