season,variable,model,region,init_date,scale,lead,week,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JJAS2019,TP,FuXi,central_india,2019-07-28,daily,42,Week 6,13.148229211803983,12.20616603796504,12.898673109204092,-0.07717928552739894,-0.01934742438133541,7.441798170203178,23.372682881583415,0.3183972592237996
JJAS2019,TP,FuXi,central_india,2019-08-01,daily,42,Week 6,10.961545786732252,10.07927627634615,13.414958746772387,-0.08753302183576372,0.18288635890366944,7.028125492041956,20.27966394676539,0.3465602541783215
JJAS2019,TP,FuXi,central_india,2019-08-04,daily,42,Week 6,5.461920778670286,5.499167600700247,16.963985415425057,0.006773174548311278,0.678028444088153,9.678141961786759,11.90233381299299,0.813129770501124
JJAS2019,TP,FuXi,central_india,2019-08-08,daily,42,Week 6,6.660319533198773,6.880606575540257,12.725914586662089,0.03201564279588054,0.4766333305286057,6.601494608477903,15.64639212783851,0.42191800860802503
JJAS2019,TP,FuXi,central_india,2019-08-11,daily,42,Week 6,3.7459033549166305,4.118900726260793,17.42606965922453,0.09055750457058853,0.7850402627689642,5.693806237815853,6.699233571208902,0.8499190507830561
JJAS2019,TP,FuXi,central_india,2019-08-15,daily,42,Week 6,8.891439727054689,6.573486292609362,11.099872690486222,-0.3526216274386129,0.1989602065728553,4.141003304745333,12.705499498841828,0.3259221178295908
JJAS2019,TP,FuXi,central_india,2019-08-18,daily,42,Week 6,9.01935683188931,7.040756726462435,8.63764203113938,-0.28102094452296233,-0.04419201436848352,2.7470451762795745,16.69306416378759,0.16456206897225997
JJAS2019,TP,FuXi,central_india,2019-08-22,daily,42,Week 6,0.8522795819927114,3.326749391942059,5.981934695879481,0.7438101036233524,0.8575244255709136,2.1590219753951256,1.5735921768191121,1.3720340042357175
JJAS2019,TP,FuXi,central_india,2019-08-25,daily,42,Week 6,3.363556844305097,3.78708199251077,6.162859000289032,0.11183416388745349,0.4542213534096189,2.7746748926442786,6.258174485342325,0.4433680938655552
JJAS2019,TP,FuXi,central_india,2019-08-29,daily,42,Week 6,2.5914600920852884,3.988156187656149,9.539747342689186,0.35021098218114244,0.7283512865703659,2.281265976044776,6.771666455624582,0.3368839843182093
JJAS2019,TP,FuXi,central_india,2019-09-01,daily,42,Week 6,1.2080845533624587,3.2950481418883166,9.452688070905563,0.633363610684567,0.8721967186158588,3.3062025962453587,2.471132391304712,1.3379301764159002
JJAS2019,TP,FuXi,central_india,2019-09-05,daily,42,Week 6,1.531199208860737,3.3128510983011843,10.035466827734389,0.5378001716871823,0.8474212276175277,2.063779920363409,3.769096216913311,0.5475529945620583
JJAS2019,TP,FuXi,central_india,2019-09-08,daily,42,Week 6,6.634897259178037,6.276754475402896,12.922877397566438,-0.057058593765076715,0.48657740416020023,2.376120495857083,11.728575276821283,0.2025924240391683
JJAS2019,TP,FuXi,central_india,2019-09-12,daily,42,Week 6,10.005824791628697,9.388547724512623,15.976213880638085,-0.0657478755211971,0.3737048798680036,5.267273547576761,19.843108941861587,0.26544598243195505
JJAS2019,TP,FuXi,central_india,2019-09-15,daily,42,Week 6,3.3577211425536486,4.000210433167082,11.945375624831994,0.16061387303186347,0.7189103760309025,2.2488620723873423,5.986068518638168,0.37568264803272894
JJAS2019,TP,FuXi,central_india,2019-09-19,daily,42,Week 6,2.6347227265275928,3.8553125222447355,8.796768758164225,0.3165994426325939,0.7004897140120543,3.0288401683763078,5.58494950515754,0.5423218536853844
JJAS2019,TP,FuXi,central_india,2019-09-22,daily,42,Week 6,0.903478503573072,3.15315146776143,7.283660126035926,0.7134680928555285,0.8759581737835997,2.9180482074188117,1.4001236330250422,2.084136099548732
