Region,Model,Variable,Lead,PCC,RMSE,Bias,N
Northwest,ECMWF,TP,Week-2 lead,0.9966090843446502,0.3362689928264758,0.25192237984418836,43
Northwest,NCEP,TP,Week-2 lead,0.9473743012376721,0.9514102896253931,0.7680107124665451,43
Central,Spire,TP,Week-2 lead,0.9866624038763758,0.13427045720946132,0.1252687182041394,42
Central,FuXi-S2S,TP,Week-2 lead,0.9999172497767896,0.003485385991755947,-0.0006942316458204534,42
Central,ECMWF,TP,Week-2 lead,0.9931571957521774,0.04375759131956315,0.02831585449357312,42
Central,NCEP,TP,Week-2 lead,0.859191403009256,0.22075266769966861,0.14759542420145147,42
S. Peninsula,Spire,TP,Week-2 lead,0.8559221158747546,0.30141747849755557,0.1796744104450746,22
S. Peninsula,FuXi-S2S,TP,Week-2 lead,0.9997227939313085,0.011368956568866957,0.005058775535316865,22
S. Peninsula,ECMWF,TP,Week-2 lead,0.9305267339830182,0.20844898481368945,0.12285733029153502,22
S. Peninsula,NCEP,TP,Week-2 lead,0.044061286835726764,0.8361591016487391,0.5592694133716506,22
East/NE,Spire,TP,Week-2 lead,0.995191501873802,0.8712066366584025,0.5351607566637616,19
East/NE,FuXi-S2S,TP,Week-2 lead,0.9999924463217658,0.01449063093047908,0.007448609584518247,19
East/NE,ECMWF,TP,Week-2 lead,0.9965929110626239,0.492285699776069,0.3196096402797365,19
East/NE,NCEP,TP,Week-2 lead,0.9992904497105896,0.2242751239140692,0.14434168453487187,19
Northwest,Spire,T2M,Week-2 lead,0.5594856235243709,1.3514989641218964,0.43573267088501766,43
Northwest,FuXi-S2S,T2M,Week-2 lead,-0.005933179391371407,6.580802344052527,-5.897072841521491,43
Northwest,ECMWF,T2M,Week-2 lead,-0.15615563811424157,7.417945247598233,-6.622911504280119,43
Northwest,NCEP,T2M,Week-2 lead,-0.227324360967958,6.483813920959606,-4.681904578246789,43
Central,Spire,T2M,Week-2 lead,0.5372659620717404,0.9968692237927103,-0.051425718579042996,42
Central,FuXi-S2S,T2M,Week-2 lead,0.34995698038930184,6.372872808037756,-6.106453127827935,42
Central,ECMWF,T2M,Week-2 lead,0.2545575737117742,5.644086222402782,-5.421101716319991,42
Central,NCEP,T2M,Week-2 lead,0.3188612145217359,4.1266936575952124,-3.7654699189373755,42
S. Peninsula,Spire,T2M,Week-2 lead,0.6275692597976292,0.6722594781833928,-0.4796936376670472,22
S. Peninsula,FuXi-S2S,T2M,Week-2 lead,0.525421653757892,3.8202295085969005,-3.3869819065429505,22
S. Peninsula,ECMWF,T2M,Week-2 lead,0.5628194213951391,4.62844478640331,-4.415948231304541,22
S. Peninsula,NCEP,T2M,Week-2 lead,0.40301932169313764,4.067919751077184,-3.851914296010728,22
East/NE,Spire,T2M,Week-2 lead,0.266674912172714,1.328595602751009,0.8619571540193756,19
East/NE,FuXi-S2S,T2M,Week-2 lead,0.40262671489777324,6.448446797719167,-5.747444127008409,19
East/NE,ECMWF,T2M,Week-2 lead,-0.04560346857106296,7.5641295410380405,-6.680772888160021,19
East/NE,NCEP,T2M,Week-2 lead,-0.10806809170577698,6.589672405926859,-5.647301317222959,19
