region,lead_day,valid_date,imd_mean,imd_p10,imd_p25,imd_p75,imd_p90,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90
Northwest India,9,2026-07-02,35.278942922471714,14.311805477738382,21.02902616560459,50.46571709215641,56.40602178573609,10.670771,9.285731220245362,11.846030426025392,20.296568141582465,12.363036263177968,29.55067238914376
Northwest India,10,2026-07-03,39.49424780181919,17.2113971978426,24.39175494015217,54.35301253199577,65.5900908946991,16.991877,14.528398513793945,19.1369421005249,26.883985067030867,18.031372587595772,38.087262520532256
Northwest India,11,2026-07-04,43.62271657458817,19.67444467842579,26.58875696361065,62.438708782196045,69.2540297985077,24.01948,20.79932384490967,27.06499309539795,33.429220959035234,21.306671315800845,48.594224665691286
Northwest India,12,2026-07-05,48.32143011561905,21.531249967217445,31.577446289360523,69.02044479548931,76.10592613220216,30.956081,25.33116283416748,35.024998092651366,40.174212459221614,24.132327701879756,59.13641095065057
Northwest India,13,2026-07-06,53.56469727825994,26.091943621635437,34.760221406817436,75.85112810134888,81.81155141592026,37.721413,30.751391410827637,43.31518821716308,46.73009792323749,29.225014351811875,66.47901116779
Northwest India,14,2026-07-07,58.37707616211846,31.336840856075288,37.2237050794065,80.2827980518341,85.5901727259159,44.04555,34.74331893920898,51.12440032958985,53.737663202554074,33.05894784649379,75.5254911523033
Northwest India,15,2026-07-08,63.25955002279952,33.40964646339417,42.87165021058172,85.17012509703636,91.45957601070404,48.268272,37.74707221984863,57.25703468322754,60.592795642388964,37.248758007767314,87.61536657448137
Northwest India,16,2026-07-09,68.58300231766576,35.8981556981802,50.14737021084875,90.40189611911774,99.41864414215088,51.902237,40.85589714050293,61.55718307495117,67.67152718498352,41.596226989825354,97.78839455678165
Northwest India,17,2026-07-10,74.51493624917542,39.89248107969761,53.43089708406478,96.14358602464199,105.3998652100563,57.355865,45.59500846862793,68.10446166992188,74.80556940727895,44.43387293510098,103.71672254264536
Northwest India,18,2026-07-11,81.90804422569151,42.372196230292325,56.26035175472498,108.45290212333202,113.82777298688889,63.699608,53.36833534240723,76.17655334472656,82.3536044241909,49.40070225016752,114.53980739039164
Northwest India,19,2026-07-12,89.09803096822773,42.87586522102356,59.84880788624287,116.5307265073061,125.43018351793289,69.225174,56.152248001098634,81.93080825805664,90.01325831012664,54.81151437699229,125.15396352513947
Northwest India,20,2026-07-13,94.93668186735982,43.75787011682987,66.46508146822453,122.57314696907997,131.9377401471138,73.81162,58.60807914733887,87.39312286376953,97.9235293012554,62.152844105858456,135.4275855690191
Northwest India,21,2026-07-14,100.37569369149084,50.32525863051415,74.52682937681675,127.66318038105965,136.97365494966508,77.84577,61.80727996826172,90.98690185546874,105.58438548745549,70.28176561336558,142.71858634744873
Northwest India,22,2026-07-15,105.538254237889,56.35102314352989,78.68354608118534,133.10383228957653,143.27371436357498,82.26925,68.55894165039062,96.30000305175781,112.66971406587638,74.13380208998883,148.24657541206435
Northwest India,23,2026-07-16,111.52598514230922,64.20985701978206,82.71680821478367,140.38074919581413,150.20970293283463,86.883865,73.55022048950195,102.01976852416992,118.87926526085408,79.92278113506613,153.0275495413377
Northwest India,24,2026-07-17,117.69864031147833,68.09556194245815,87.39204980432987,146.57879121601582,156.1096913456917,91.34591,74.5481460571289,105.8786506652832,124.81398938753625,82.6347287992303,157.84978548730103
Northwest India,25,2026-07-18,123.99029617082948,78.41692806780338,95.40058936178684,152.90375895798206,167.08991655111313,96.1139,79.46828002929688,113.11387557983399,130.5147624587597,85.95188781916018,163.9343014033182
Northwest India,26,2026-07-19,129.87581036261594,82.09322330057621,102.56474409159273,156.88716618716717,171.7572677254677,100.90817,85.02990417480468,121.8969123840332,135.78068422142428,90.56782655391098,175.00615513136412
Northwest India,27,2026-07-20,136.5722043253171,93.90057288706303,109.7791639091447,163.28735600411892,180.72797892093658,105.72273,88.32541427612304,130.01142120361328,141.2929897615364,96.22273662827874,180.79186358857834
Northwest India,28,2026-07-21,143.45332245997463,106.74756468832494,114.16022346075624,171.2360385209322,187.38179585933685,110.23134,90.98791427612305,136.6507141113281,147.6760396264759,100.6491494082752,186.45159669365682
Northwest India,29,2026-07-22,149.9725078957466,110.16834816336633,121.72124540060759,177.3018346875906,193.70086557865145,114.44068,92.95714416503907,140.52631530761718,154.4790611550968,104.80972690745556,194.4766797460591
Northwest India,30,2026-07-23,155.76658517889058,113.86506943106653,129.8865236863494,185.54300092160702,200.31521055698397,118.71496,93.25593032836915,144.02468872070312,161.5104478324996,109.14168738594245,204.05384255854466
Northwest India,31,2026-07-24,161.23048918616647,116.63200423121454,135.71850053220987,189.97278344631195,206.88860589265823,123.450584,93.75863418579101,148.501318359375,168.46889228640805,112.33129584761741,212.7299119252145
Northwest India,32,2026-07-25,167.71747611137107,119.98886138228701,148.0665704086423,195.24366849660873,212.30742285251617,128.20995,97.31048049926758,153.28289031982422,175.4804090192637,118.28616795368458,221.38086863989994
Northwest India,33,2026-07-26,174.37757984371856,124.65170642165468,156.0629248842597,205.22283628582954,217.38265997767448,132.64786,101.07046203613281,160.48262481689454,182.4537718693852,123.01473741167234,234.06734667833808
Northwest India,34,2026-07-27,181.08259091945365,129.31391097335145,160.28496272861958,213.99522930383682,222.39455896615982,136.7445,101.72459716796875,163.35531463623047,189.6652427730326,128.6589586797925,246.307841127416
Northwest India,35,2026-07-28,188.0844721274761,135.95185271529482,167.5705324858427,223.2584953904152,229.78355232477188,140.97485,102.50671081542968,168.54305572509764,198.1831008549144,134.78665385357473,257.82828818230985
Northwest India,36,2026-07-29,194.32982134393725,145.33234168319032,171.01711766421795,231.34485417604446,239.13743282556536,145.16588,105.53277130126953,173.73473510742187,206.16009279993264,140.6379354345964,266.1425994301481
Northwest India,37,2026-07-30,199.9414320029008,151.67557105422023,174.66262735426426,237.6677730679512,246.15397307276726,148.72673,109.63705825805664,179.18250122070313,214.1320858894928,147.36115573756098,276.05976423757403
Northwest India,38,2026-07-31,205.49439492197706,155.48462976813317,181.065325319767,242.38210201263428,250.99324261546136,152.00912,111.6557846069336,183.43299407958983,221.98530746602617,151.9027731076109,283.208493038485
Northwest India,39,2026-08-01,211.49344581933693,160.4984120309353,186.29004031419754,249.34897637367249,259.1225652456284,155.3126,114.94258422851563,188.46436004638673,229.37452963187425,162.1129061266351,295.5123875895354
Northwest India,40,2026-08-02,217.95097727548952,165.79405612349512,188.448843896389,253.43708731234074,263.3115504026413,158.554,118.04605026245117,194.3081481933594,236.73376218377805,167.48261117333453,305.60151800592666
Northwest India,41,2026-08-03,224.08446622462944,170.46003021597863,190.76232400536537,257.9470472931862,269.07372854351996,161.68947,118.76223297119141,199.5833267211914,244.46442914128156,171.0852985121867,311.2074696422907
Northwest India,42,2026-08-04,230.10661175223066,177.56030086874964,199.54337877687067,264.43041586875916,274.5415286839008,164.645,119.24656753540039,201.99207916259766,251.47242620506194,175.36977904924862,319.4581139226354
Central India,1,2026-06-24,6.722868369023005,1.2561158031225208,4.286967396736145,9.558125019073486,12.170858478546142,10.010036,9.776634788513183,10.269612407684326,10.184370876907176,8.275408181684655,11.83753684758893
Central India,2,2026-06-25,13.618440345923107,3.1742973178625116,7.575597167015076,16.589792490005493,22.7959210395813,16.936867,16.47908573150635,17.414916610717775,19.999798196227164,16.42718436926554,24.015926917181883
Central India,3,2026-06-26,20.826679265499116,5.582935541868211,12.15453690290451,25.49045431613922,34.56028814315797,23.730213,22.73630027770996,24.67863540649414,28.056000684085262,22.540005765965777,33.06066044937148
Central India,4,2026-06-27,28.219108533859252,8.531441992521286,17.653701901435852,33.337314426898956,50.11754875183107,31.172564,29.90782012939453,32.55340766906738,36.137553276067344,30.165864689723563,42.38882385516975
Central India,5,2026-06-28,36.432482131322224,11.797890761494637,23.917692005634308,44.646473467350006,63.94867854118349,38.883575,37.5055118560791,40.60722694396973,46.36866373267608,38.37722974163979,54.83764909739294
Central India,6,2026-06-29,44.997229214509325,14.557379767298698,28.079259514808655,53.26507121324539,76.93119475841523,46.33934,44.714206314086915,48.330949020385745,57.03977089212618,45.83474734496041,70.41542542181462
Central India,7,2026-06-30,53.298949746290845,17.78873333632946,31.19346121698618,62.90032112598419,87.67158956527712,53.740322,51.92537002563476,55.5825496673584,69.12963692474996,52.760682887947254,89.09871947724207
Central India,8,2026-07-01,60.94643979469935,22.247811266779898,36.83106521517038,70.95864069461823,96.53806710243227,62.029648,59.41239700317383,64.53750839233399,81.6646923237958,63.1228298368026,108.24800958277686
Central India,9,2026-07-02,69.32569412589073,30.50962602198124,42.05772087723017,82.90065741539001,104.86093101501466,71.88437,68.92155990600585,74.84788208007812,94.9860673182982,70.76366232068852,124.72979428603888
Central India,10,2026-07-03,78.49371592005095,33.59295718073845,49.70197106152773,98.1484591960907,116.10534415245057,83.65,79.52518615722656,88.04245452880859,110.6633781364042,82.0091039341668,147.53711119113248
Central India,11,2026-07-04,87.98712228139242,35.0021645963192,55.155982092022896,114.59809041023254,133.96301217079164,96.002235,90.15268096923828,103.2974967956543,128.6806277612836,94.52412783366566,170.74486194545395
Central India,12,2026-07-05,96.40499068895976,36.83348817825318,57.47430005669594,126.58346053957939,149.16510462760928,109.09839,101.67510833740235,118.73522033691407,148.54516613621092,108.53544240393818,192.51582739135452
Central India,13,2026-07-06,104.67141550978025,41.7496159017086,60.691207349300385,140.1512593626976,155.7114130496979,121.74385,112.21378707885742,132.86449279785157,169.2430066466885,125.9394532242943,211.65264373132788
Central India,14,2026-07-07,113.37458489139875,50.22301744818687,66.77427667379379,152.0754033923149,161.20284509658816,134.36554,124.0396629333496,148.99397888183594,188.54222824177148,137.07818047673226,231.51145443333272
Central India,15,2026-07-08,122.56261006395022,58.73946461081505,72.66667717695236,160.33663076162338,173.30679197311403,147.69547,135.34095001220703,163.86294708251953,206.7943143990981,153.90543928801293,263.0773442394576
Central India,16,2026-07-09,131.9432425359885,64.36964401602745,79.90371408313513,172.57476872205734,189.4393186092377,161.53775,147.84869079589845,175.93205871582032,222.430710276974,164.98907433808262,280.8387825739097
Central India,17,2026-07-10,141.54053118427595,68.36676461100578,94.1070801243186,180.73947501182556,211.14665350914,175.17786,159.08395233154297,188.56080627441406,234.9455809046754,172.2871923525273,298.44063389926845
Central India,18,2026-07-11,151.06660076578459,75.60352489352226,108.97631373256445,188.82603478431702,234.76536688804626,185.32855,167.4559310913086,201.97207489013672,247.68846762325657,187.8026426357752,310.4124663299896
Central India,19,2026-07-12,160.3523038168748,81.67014271616935,113.92464050650597,196.31326550245285,259.2609572887421,192.06871,169.89547119140624,208.96512451171876,258.3607787154189,196.04637833397962,326.8501339727936
Central India,20,2026-07-13,169.2812336742878,87.17105061411857,115.81297716498375,199.78477373719215,274.7873416423798,198.35965,178.7267318725586,217.5251434326172,267.62636237302496,205.66575196595687,342.2938125453024
Central India,21,2026-07-14,178.31648744146028,95.25980121791363,124.34488528966904,205.44012635946274,280.4516961097718,205.98877,185.27633056640624,226.30557861328126,276.5284176905772,210.21501354943143,351.3045812321875
Central India,22,2026-07-15,188.4155168235302,103.64109973609447,135.2078599333763,225.9320205450058,284.6269595384598,214.14116,189.2462127685547,236.27340545654297,285.56471161364703,213.08712437285672,362.6666785227274
Central India,23,2026-07-16,199.9268864095211,116.74467751383781,146.1327753663063,242.13465267419815,296.1775827646256,221.50574,193.7579772949219,248.39392852783203,295.1395337677427,214.91024463759777,373.2456772990148
Central India,24,2026-07-17,210.1612634996573,125.27170986235141,165.20814102888107,253.87414175271988,303.7124068975449,227.87138,199.69894256591797,256.55311584472656,304.38981358753585,221.31905802960375,388.23147275062945
Central India,25,2026-07-18,219.7178428431352,132.87007517516614,174.85541930794716,264.93456250429153,313.6585805177689,234.42563,201.647119140625,266.47894592285155,314.15980692869334,229.59567357957832,394.0078915076714
Central India,26,2026-07-19,229.7239831308524,144.73920257091524,181.35818138718605,277.26352578401566,319.82464616298677,242.05157,205.50381164550782,282.18365783691405,323.9551124537356,234.23701854965122,401.9035718821609
Central India,27,2026-07-20,240.3011313656966,158.76619851589203,187.35912755131721,284.3935091793537,325.4630348205567,250.33719,211.5321823120117,294.2595489501953,334.61698503196067,243.58344057312544,414.1250956820273
Central India,28,2026-07-21,251.9443242808183,170.0307419538498,196.79003252089024,293.21732980012894,331.93553376197815,259.57996,217.8289810180664,306.37578735351565,344.83548726231186,251.4642932893612,429.6600316512954
Central India,29,2026-07-22,263.3449016710122,182.10305287837983,213.34472647309303,310.18347215652466,344.10064195394517,269.705,228.7788497924805,316.6384979248047,355.5884744600682,256.57823945088404,451.2608609836879
Central India,30,2026-07-23,274.2600547492504,191.68182944059373,223.75934329628944,324.97613421082497,361.6885198116303,280.29163,237.4095886230469,334.0443511962891,365.9664968633018,262.82436608540684,467.93683973887676
Central India,31,2026-07-24,284.4901584406694,204.5906327366829,233.5305194556713,335.59697809815407,377.62636494636536,290.9592,249.24074096679686,350.35143127441404,376.12356760991076,269.1041369255788,479.6693753034537
Central India,32,2026-07-25,294.96816686987876,215.30418552160265,242.49874013662338,341.37973776459694,388.83948583602904,300.64767,261.40195617675784,355.57439575195315,386.9791261702462,275.87487715689593,491.2289754017555
Central India,33,2026-07-26,306.5360748231411,225.806260240078,256.1924642920494,350.23328271508217,394.6575163841248,309.15427,271.93641967773436,363.0864196777344,398.1303751498351,285.5146288057053,503.9441322751904
Central India,34,2026-07-27,319.11739756067595,242.5038095831871,271.6696608364582,363.66563576459885,403.7844805717469,316.77878,279.93688049316404,371.9120819091797,409.87904075562966,294.9321897180232,520.6144478086724
Central India,35,2026-07-28,331.5185359179974,259.5321670293808,283.0512423813343,377.595743983984,410.7680574893952,323.7446,282.2174407958984,377.0742492675781,421.4875341811909,302.86244507501743,533.1661663263006
Central India,36,2026-07-29,342.411926005284,274.43802745342254,297.13259732723236,388.78333473205566,414.5381290197373,330.65237,283.32541809082034,386.78611145019534,433.3085995765232,310.8809794482254,544.4635314138955
Central India,37,2026-07-30,353.5279189089934,286.2748819410801,308.3153330683708,396.0005564391613,418.5917355775834,337.41995,284.31992797851564,397.6666168212891,445.1765898440787,322.10841517535243,560.0473405472911
Central India,38,2026-07-31,364.0920538922151,288.5668533563614,324.636214889586,400.27929469943047,439.962793660164,343.7758,285.4371002197266,404.5129425048828,457.00017433910807,327.4211734072233,568.7516686818235
Central India,39,2026-08-01,374.2613987882932,291.61950280666355,329.3690831437707,409.5639179646969,457.10389835834513,350.22675,290.1416046142578,415.5801086425781,469.1644784154027,337.22306172494166,575.873400891456
Central India,40,2026-08-02,383.8902995189031,295.72375762462616,331.4633827880025,414.1507941633463,473.5643991708756,356.66104,300.0782867431641,422.183544921875,481.27610811142847,352.2562213237727,589.3738131424325
Central India,41,2026-08-03,394.680120113492,306.4363381147385,340.20114547014236,425.1737699508667,492.65864536762246,363.18787,305.9070220947266,425.713525390625,492.4317598630929,360.5921288861916,599.3584092087991
Central India,42,2026-08-04,406.4405277488132,322.4487414211035,352.8035917878151,434.91008472442627,509.5826610803605,370.2953,310.100244140625,434.45155639648436,502.9503528688394,370.1002163313453,608.2832863498166
