init,var,week,accA,accB,rmseA,rmseB,biasA,biasB
2026-02-05,Z500,Week 4,0.5315792390294731,0.48856737918832044,23.74448494454605,34.3828372552294,3.345218786908781,1.5673778825937172
2026-02-05,Z500,Week 5,0.7801329113401833,0.36194748561741513,49.80281128628949,61.8928512694664,-41.0350901403122,-49.59626577825336
2026-02-05,Z500,Week 6,0.39804440005447966,-0.2691031501435718,39.35036999408694,50.025578620279425,37.347931554748286,40.47195904001428
2026-02-12,TP,Week 1,0.921461170385009,0.9235693605928345,0.5827665712388344,0.576424860798617,0.08750091719713118,0.025501153746862182
2026-02-12,TP,Week 2,0.8324266313675598,0.8288310847489517,0.9247183359949498,0.9458334703029435,0.260292556455044,0.259010738947483
2026-02-12,TP,Week 3,0.5914135850181974,0.5720051048702885,1.174959269151537,1.2130693911134083,0.5425786472923246,0.5703144839023959
2026-02-12,TP,Week 4,0.3094133910550469,0.2494052445766346,1.6059667586664614,1.6513775803702595,0.0755824377320393,0.19298783005363057
2026-02-12,TP,Week 5,-0.6033888867854088,-0.40687822083239683,4.379782128272154,4.223087873823253,-1.2864351685189979,-1.2237663006423205
2026-02-12,TP,Week 6,0.17394762497504232,0.12197957615952744,2.1325544861265304,2.2752389486087483,-0.46346485906098156,-0.5278448428162373
2026-02-12,Z500,Week 1,0.9464474463578875,0.6469424303214675,11.780614903080286,31.026961719394528,5.6939556046996875,-12.98196768979182
2026-02-12,Z500,Week 2,0.9715798876115489,0.8947950072376306,27.85253827346857,29.9309710563705,26.08544173125324,13.662592944860846
2026-02-12,Z500,Week 3,0.48035515005227447,0.45898898317044906,24.558722937778104,35.029692899005774,-2.386305930170463,-4.163767091760017
2026-02-12,Z500,Week 4,0.7901400904806338,0.3381141326449614,50.45922443813709,62.565564393476954,-41.51870279776782,-50.07986245500324
2026-02-12,Z500,Week 5,0.4101409345748165,-0.27056247768771535,39.90951968603748,50.54188581152509,38.05858350315669,41.18039924542357
2026-02-12,Z500,Week 6,0.6741219719321853,0.5256533659321202,34.862435098521665,41.9018981723835,33.4955470589918,36.06142502771568
2026-02-19,TP,Week 1,0.8616276819216228,0.8586882601274575,0.7900283134016473,0.8032597882658867,0.24891898868997325,0.24763739739040846
2026-02-19,TP,Week 2,0.5848307360208698,0.5649405889481661,1.1012698556504945,1.1345262138056078,0.354290608461679,0.38202640758363526
2026-02-19,TP,Week 3,0.06092223091057634,-0.009585813548759108,1.7993746642819592,1.8526749673173573,-0.11689323502847226,0.0005121189311066716
2026-02-19,TP,Week 4,-0.4760218651191531,-0.25120407074559103,4.248506159399425,4.088100277437976,-1.3013088833880382,-1.238640086273728
2026-02-19,TP,Week 5,0.13664355435680778,0.09032907153117187,2.1557761484243825,2.3016228011446556,-0.43705602693962275,-0.5014360046906341
2026-02-19,TP,Week 6,0.014805788273242422,-0.011151026908958285,2.585765885262434,2.7239230787295834,-0.6744358876069025,-0.7453487639098998
2026-02-19,Z500,Week 1,0.9932188654057575,0.8685074294628021,16.06766550416352,28.44475033953326,15.445938352286513,3.0242999943670203
