lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm
13,2026-06-14,35.468643,31.932386,38.803497,57.291501929124806,38.91789363788171,74.84752547371544,48.091415,62.67992,2.5555376930246654,3.319400971965305,3.2568530206048343,41.026568372657266,38.05714417901455,38.835530058073125
14,2026-06-15,39.4274,35.12181,43.210796,61.72700493778405,41.116388307334574,83.01952001583228,53.550106,68.58364,1.7507628857691586,2.2288844711591844,2.474528359514913,42.77733125842642,40.28602865017373,41.31005841758804
15,2026-06-16,43.811558,39.379032,48.409603,66.48959225351993,43.52184852308112,87.94550549236074,58.991547,74.64161,2.6837749163414384,1.4314972833143431,1.6648552200378273,45.46110617476786,41.717525933488076,42.97491363762587
16,2026-06-17,48.73411,44.27603,54.25138,72.12905311986388,47.66682779993027,94.85481718496803,64.63466,80.852554,3.359644644962051,2.379023879047592,2.324793800398061,48.820750819729916,44.09654981253567,45.29970743802393
17,2026-06-18,54.00769,48.42111,59.41282,78.3573703273205,52.675091435912776,101.26323367020171,70.5319,87.21531,3.196239122902241,2.3988511863844577,2.815637623343952,52.01698994263216,46.495400998920125,48.11534506136788
18,2026-06-19,59.45216,53.53198,65.71232,85.49140744280943,56.97381170797703,107.98191224400126,76.53529,93.728,4.162326598360565,2.8520300666264955,3.2632854940048204,56.17931654099272,49.34743106554662,51.3786305553727
19,2026-06-20,65.381775,59.336864,71.79701,93.1089432103938,63.31636014320279,117.62196573308937,82.05972,100.38843,3.574792986916344,3.1364177094538004,3.495015520532504,59.754109527909065,52.483848775000425,54.87364607590521
20,2026-06-21,72.47664,64.96255,78.737015,101.47605211090618,69.70283138464261,128.35093909602077,87.83049,107.19491,4.58074917480257,3.211611416774824,3.182134207623214,64.33485870271164,55.69546019177525,58.05578028352842
21,2026-06-22,80.66628,72.79295,88.462456,110.36719784499157,74.33067567996133,138.75277358574817,93.83878,114.14501,6.127853456527878,3.1016260749903237,3.500117913341363,70.46271215923952,58.79708626676557,61.555898196869784
22,2026-06-23,88.87364,80.09388,97.08158,119.63367492272137,81.32628552394442,148.33530207331344,99.98183,121.23521,5.544730650655271,4.496203691380011,5.255419731545315,76.00744280989478,63.29328995814558,66.8113179284151
23,2026-06-24,96.457825,88.09753,104.79603,128.58430411646034,83.6700671516873,159.81712554227406,105.8439,128.46225,4.112161078598405,4.557225123050768,4.894563868903865,80.11960388849319,67.85051508119635,71.70588179731895
24,2026-06-25,103.9397,94.1273,112.382835,137.94108667618036,89.53945225668107,174.91670492591317,111.61892,135.82361,3.551359929769017,4.040915759181107,4.129881883450135,83.67096381826221,71.89143084037745,75.83576368076909
25,2026-06-26,111.793396,101.60029,121.39351,147.12118934031915,100.86104272199245,191.03060099156102,117.96932,143.31714,3.883510105458868,2.660698826580125,3.119469802777384,87.55447392372108,74.55212966695758,78.95523348354648
26,2026-06-27,120.78101,109.32245,131.23927,156.95627132649923,110.3761625041395,200.66249971253933,124.493645,150.93996,6.364740328261472,3.0933873296645737,3.49189905123156,93.91921425198255,77.64551699662216,82.44713253477804
27,2026-06-28,130.99168,119.513405,142.7027,166.93160655281076,120.09953913836088,213.58211645282023,131.70462,158.68819,7.363871433507424,4.631188886423765,5.281375296001568,101.28308568548998,82.27670588304593,87.7285078307796
28,2026-06-29,141.87097,129.14473,155.99164,176.9571592632767,125.67019631452727,224.67667812396812,139.0201,166.55693,7.580766868650585,6.61892359602027,6.973286242333419,108.86385255414056,88.8956294790662,94.70179407311302
29,2026-06-30,153.12706,137.56375,168.3884,186.98836283336078,133.45532819212787,240.85536336386272,146.2547,174.54099,8.560571264542629,6.784585534180514,7.739928516221444,117.4244238186832,95.68021501324671,102.44172258933446
30,2026-07-01,164.51079,146.34975,183.9988,196.86464810564306,141.66059593068027,247.20302441251138,152.72339,182.6354,10.294926922218938,7.566552515080204,8.082817059694587,127.71935074090213,103.24676752832691,110.52453964902905
31,2026-07-02,176.56186,157.39081,197.21442,206.21545526112234,149.73292710763366,259.064481149624,159.7536,190.83487,11.010106699173122,9.60030050247329,8.759509489298187,138.72945744007524,112.8470680308002,119.28404913832723
32,2026-07-03,188.57759,167.80621,209.53668,215.11648688422065,158.873859064473,269.6242009126204,167.12119,199.13327,12.231142120667265,9.263468298634953,8.18708187882876,150.9605995607425,122.11053632943515,127.471131017156
33,2026-07-04,199.8976,178.8513,222.45755,224.2147631178761,164.65556108335662,277.43327088916266,174.69556,207.52539,10.023024359559038,10.029423686453908,9.503945930239931,160.98362392030154,132.13996001588905,136.97507694739593
34,2026-07-05,209.99147,189.06274,230.80748,233.59926493892505,169.82597548496693,287.91193816552914,182.13579,216.00656,10.418968958357947,10.570047483743371,10.707952295989562,171.40259287865948,142.7100074996324,147.6830292433855
35,2026-07-06,219.20259,196.77864,240.70561,243.15933050789852,180.40909787333212,300.7927835169648,189.67567,224.5726,9.766635110138866,12.77140647349671,11.913191171995273,181.16922798879835,155.48141397312912,159.59622041538077
36,2026-07-07,227.99155,204.922,253.30615,252.62141197088675,189.01112782245988,312.4319296594731,197.13594,233.22,9.16342281666073,11.297929403289029,9.14323869277937,190.33265080545908,166.77934337641815,168.73945910816013
37,2026-07-08,236.56668,214.03915,263.23447,261.92853937757997,194.9616393747083,324.8289229694576,204.82466,241.94386,8.48234414774134,10.654908407162988,10.391826405483492,198.81499495320043,177.43425178358115,179.13128551364363
38,2026-07-09,245.1606,220.3859,275.10938,270.83244656270153,203.23324243714006,333.37272366782776,212.90253,250.73851,5.226885723340722,8.739287596397652,8.312746467405894,204.04188067654115,186.1735393799788,187.44403198104953
39,2026-07-10,253.53036,224.95132,285.2858,279.0881361818496,214.32382297319867,341.47607167583277,221.81398,259.59653,4.4030951605573785,6.595662438724297,5.813106002542468,208.44497583709853,192.7692018187031,193.257137983592
40,2026-07-11,261.46692,229.02457,295.80554,287.88509368662426,226.20083716588192,352.29044185114185,231.21909,268.5103,2.1732545919897763,4.905400080851553,4.456683968793795,210.6182304290883,197.67460189955466,197.71382195238579
41,2026-07-12,269.25177,236.31342,306.95667,296.7920324256415,232.21929529700287,367.71708967289476,240.22394,277.47418,2.92376757076801,2.4502784307575625,2.2449324213117112,213.5419979998563,200.1248803303122,199.9587543736975
42,2026-07-13,277.20477,244.02887,316.81702,305.65978479554434,237.98763826602772,377.9606170163309,248.07735,286.48434,1.7572705664636663,3.0760606201271328,2.9987340810164045,215.29926856631997,203.20094095043933,202.9574884547139
