variable,region,week,init_date,model,pcc,rmse,bias,fcst_std,obs_std,fcst_mean,obs_mean
Z500,central_india,Week 1,2026-01-01,FuXi,0.9134009553742816,11.330018920731051,9.807896707316834,13.876928363209872,13.190986061955899,5773.3262539805455,5763.518357273228
TP,central_india,Week 1,2026-01-01,ECMWF,-0.46139155711651786,0.2102094658299196,0.07551675090068419,0.1734451919522895,0.04165453936574083,0.07671731080757618,0.0012005599068919818
Z500,central_india,Week 1,2026-01-01,ECMWF,0.9651188096766825,21.98451023560879,21.70979259547462,12.454278770113646,13.190986061955899,5785.2281498687025,5763.518357273228
TP,central_india,Week 1,2026-01-01,NCEP,0.488083600171976,0.05127134421638623,0.021490520269263076,0.04940241317022664,0.04165453936574083,0.02269108017615506,0.0012005599068919818
Z500,central_india,Week 1,2026-01-01,NCEP,0.9868234242389909,3.8952381248034573,1.7153293710560553,15.78759489842943,13.190986061955899,5765.233686644285,5763.518357273228
TP,central_india,Week 1,2026-01-01,MME,-0.17615496128953312,0.13328176697275515,0.06239293673827372,0.10307018728185592,0.04165453936574083,0.06359349664516571,0.0012005599068919818
Z500,central_india,Week 1,2026-01-01,MME,0.9702122812854863,14.92223000313294,14.541640714289644,13.798943830967165,13.190986061955899,5778.059997987519,5763.518357273228
TP,central_india,Week 1,2026-01-01,Persistence,0.9006304456086736,0.021641863593466548,0.005127484202314077,0.04821019219267778,0.04165453936574083,0.006328044109206058,0.0012005599068919818
Z500,central_india,Week 1,2026-01-01,Persistence,,,,,13.190986061955899,,5763.518357273228
TP,south_peninsula,Week 1,2026-01-01,SPIRE,0.6080765718868414,0.9276981753446547,0.40648125136706514,0.846956105867689,0.021757799885339407,0.41515234435532866,0.008671092988263516
Z500,south_peninsula,Week 1,2026-01-01,SPIRE,0.9772991089697376,22.147112578948725,21.765106420358823,5.178596820050599,9.007046078018568,5853.783697019949,5832.01859059959
