variable,region,week,init_date,model,crps,crps_clim,crpss,rmse,spread,ssr
TP,east_northeast_india,Week 4,2026-01-08,SPIRE,0.6639587880468975,1.7949992397831558,0.6301063681079293,1.233055912039776,2.118819350771301,1.7183481544370975
TP,All India,Week 5,2026-01-08,SPIRE,0.6961614137936215,0.8829648487914864,0.2115638411354004,1.6761986119222103,1.9206845962833767,1.1458574077213903
TP,northwest_india,Week 5,2026-01-08,SPIRE,0.9368025676206301,0.8058307307961812,-0.16253020866434986,1.8926478521110695,2.7350611977261168,1.4450977738280342
TP,central_india,Week 5,2026-01-08,SPIRE,0.5675870676240488,0.5517632915344438,-0.02867855896248428,0.8066352136868766,1.9863139522902935,2.4624686829768754
TP,south_peninsula,Week 5,2026-01-08,SPIRE,0.3549312536962548,0.3890845026666776,0.08777848702877111,0.7368041397442987,1.2188495448962975,1.654238187802919
TP,east_northeast_india,Week 5,2026-01-08,SPIRE,0.6584416414147443,1.7903621772598208,0.6322299198576122,1.4930237939736928,1.96789809662552,1.3180621129874601
TP,All India,Week 6,2026-01-08,SPIRE,0.6988281586273499,0.8987839040173109,0.22247366079456377,1.8417769085204854,1.9094193250225007,1.036726715482796
TP,northwest_india,Week 6,2026-01-08,SPIRE,0.9426186114916898,0.8828573730051713,-0.06769070555881096,2.2171085361338885,2.5677373565616324,1.1581468902912428
TP,central_india,Week 6,2026-01-08,SPIRE,0.5444582196080706,0.5838343454337384,0.06744400382340421,0.8476790281306871,1.8168818884371096,2.143360668534789
TP,south_peninsula,Week 6,2026-01-08,SPIRE,0.339600494134,0.3817401047518151,0.11038821987333969,0.6623499053397484,1.1640277541053206,1.7574211828538566
TP,east_northeast_india,Week 6,2026-01-08,SPIRE,0.7747695062726774,1.8072345477041483,0.5712955425421016,1.7451498766591707,2.2146431882743776,1.2690275018177704
TP,All India,Week 1,2026-01-15,SPIRE,0.25249689083701704,0.8931975305695227,0.7173112528915979,1.157163346970283,0.4134245652657541,0.3572741621554068
TP,northwest_india,Week 1,2026-01-15,SPIRE,0.470324507966036,0.8327733087262604,0.4352310490289314,1.7517381050455894,0.8206335863699132,0.46846819396473427
TP,central_india,Week 1,2026-01-15,SPIRE,0.06387292395994319,0.5716394393801194,0.8882636159093459,0.19033448623513696,0.13787676033810073,0.7243919011490615
TP,south_peninsula,Week 1,2026-01-15,SPIRE,0.06002556936987247,0.3654854577142853,0.835764821546479,0.2200049898060192,0.09486478840366877,0.4311938037737784
TP,east_northeast_india,Week 1,2026-01-15,SPIRE,0.13540933850133155,1.8636038491924036,0.9273400628787006,0.4768411101068833,0.17560814596885216,0.36827392237529566
TP,All India,Week 2,2026-01-15,SPIRE,1.1247196871008192,1.4849209381227482,0.24257267964535478,4.196061600300381,1.8715773300699097,0.4460319004697
TP,northwest_india,Week 2,2026-01-15,SPIRE,2.556369694564292,2.521973752232859,-0.013638501313100404,6.926282879078832,4.11401478661961,0.5939715224519906
TP,central_india,Week 2,2026-01-15,SPIRE,0.6416185212095097,0.8903618125421014,0.27937327031400483,2.5297508956699963,1.1919254662110532,0.47116317588865825
TP,south_peninsula,Week 2,2026-01-15,SPIRE,0.29939614141185417,0.5049024406497757,0.4070217980595393,1.7771318530554563,0.41220589363087184,0.2319500902097717
TP,east_northeast_india,Week 2,2026-01-15,SPIRE,0.2838688203784651,1.8583966815648656,0.8472506848540899,0.8544802809324364,0.6490571243656172,0.7595928646326925
TP,All India,Week 3,2026-01-15,SPIRE,0.7326194625779444,0.8732996756433259,0.16109042175212973,1.9290105268421667,2.0468573553378815,1.0610918534947722
TP,northwest_india,Week 3,2026-01-15,SPIRE,1.1436676276604043,0.7902241578585762,-0.44726988701487236,2.142027988591766,3.569567803293758,1.6664431194666602
TP,central_india,Week 3,2026-01-15,SPIRE,0.5951312595466322,0.6063133330645653,0.018442730694068987,0.9220081742880292,2.0142343829503293,2.184616621762288
TP,south_peninsula,Week 3,2026-01-15,SPIRE,0.220507967186579,0.3636314782184606,0.3935949432460757,0.37785635223415187,0.6736270022358716,1.7827595017337041
TP,east_northeast_india,Week 3,2026-01-15,SPIRE,0.5793144750299063,1.7949992397831558,0.6772619942168387,1.363037647445051,1.7735322094230728,1.301161573011189
TP,All India,Week 4,2026-01-15,SPIRE,0.6481848845542847,0.8829648487914864,0.26589955937492293,1.6506710824836317,1.7798048916858915,1.0782310967779012
TP,northwest_india,Week 4,2026-01-15,SPIRE,0.9002873990361653,0.8058307307961812,-0.11721651288560131,1.8679520501998097,2.6402014634551656,1.4134203622479231
TP,central_india,Week 4,2026-01-15,SPIRE,0.4369330427797395,0.5517632915344438,0.20811505679430664,0.6227173355888829,1.558349401260844,2.502498826031823
TP,south_peninsula,Week 4,2026-01-15,SPIRE,0.20867791942222433,0.3890845026666776,0.4636694137340255,0.6862773439196947,0.6050858900984154,0.8816929415773049
TP,east_northeast_india,Week 4,2026-01-15,SPIRE,0.6298767150243021,1.7903621772598208,0.6481847510941396,1.5161567101025402,1.9077238162270287,1.2582629509966725
TP,All India,Week 5,2026-01-15,SPIRE,0.647484259518051,0.8987839040173109,0.2795996272029586,1.7708339996541522,1.7731489053185503,1.0013072403538954
TP,northwest_india,Week 5,2026-01-15,SPIRE,0.8866293339682983,0.8828573730051713,-0.004272446579097533,2.1347553114650215,2.4453965675885567,1.1455160947276675
TP,central_india,Week 5,2026-01-15,SPIRE,0.45249237957890326,0.5838343454337384,0.22496443876945849,0.7236029251343182,1.5396681737593263,2.1277804722438436
TP,south_peninsula,Week 5,2026-01-15,SPIRE,0.30211621109085823,0.3817401047518151,0.20858142141686586,0.5696280944985439,1.0860548684236686,1.9066034117922968
TP,east_northeast_india,Week 5,2026-01-15,SPIRE,0.6807308940531102,1.8072345477041483,0.6233300791433583,1.649437813551608,1.921162783760365,1.1647379294789373
TP,All India,Week 6,2026-01-15,SPIRE,0.6982386144243483,0.87341589229143,0.20056570920354955,1.6670027466024744,1.938308968814535,1.1627509149370094
TP,northwest_india,Week 6,2026-01-15,SPIRE,0.7755916509055386,0.7741544426413176,-0.0018564877820985703,1.514978296606518,2.447997721229258,1.6158632283463472
TP,central_india,Week 6,2026-01-15,SPIRE,0.4911706886952887,0.5790026082756594,0.15169520538421222,0.7496194609512767,1.6660503115128924,2.222528093652549
TP,south_peninsula,Week 6,2026-01-15,SPIRE,0.6217540660379038,0.481911905503424,-0.29018199994124494,1.7244168280737868,1.57955502604811,0.915993743700883
TP,east_northeast_india,Week 6,2026-01-15,SPIRE,0.8326821678585558,1.7852165299574079,0.5335679712318022,2.0215665478761724,2.114073442860604,1.0457600048247822
TP,All India,Week 1,2026-01-22,SPIRE,0.5909743997934287,1.4849209381227482,0.6020162524339212,2.4405560084829117,0.7785431578968564,0.3190023728981377
TP,northwest_india,Week 1,2026-01-22,SPIRE,1.2651175989677657,2.521973752232859,0.49836210712039375,3.9717353969070546,1.6017334019372602,0.40328300903040837
TP,central_india,Week 1,2026-01-22,SPIRE,0.42348467004262813,0.8903618125421014,0.5243678872148356,1.964578189998828,0.8586005603846895,0.4370406659076276
TP,south_peninsula,Week 1,2026-01-22,SPIRE,0.2631885398516431,0.5049024406497757,0.4787338727993927,1.4919386969572368,0.4380215736903894,0.29359220629086236
TP,east_northeast_india,Week 1,2026-01-22,SPIRE,0.18652799600126815,1.8583966815648656,0.8996296119920952,0.6508203901124959,0.2880034596788912,0.4425237193768761
TP,All India,Week 2,2026-01-22,SPIRE,0.4785933343981051,0.8732996756433259,0.4519712445266352,1.6279840626229558,1.0225327034066818,0.6280974899466828
TP,northwest_india,Week 2,2026-01-22,SPIRE,0.651323885634761,0.7902241578585762,0.17577325476890038,1.4724755001236138,1.5875437778459123,1.0781461407762902
TP,central_india,Week 2,2026-01-22,SPIRE,0.42823789212702223,0.6063133330645653,0.29370200394154955,0.8390793891196775,1.3450051851685312,1.6029534304014392
TP,south_peninsula,Week 2,2026-01-22,SPIRE,0.18110556624222565,0.3636314782184606,0.5019530016226428,0.34142945609955017,0.5218495642899693,1.528425725921592
TP,east_northeast_india,Week 2,2026-01-22,SPIRE,0.32259966091450254,1.7949992397831558,0.8202786643221787,0.8812023174312531,0.8635195582091234,0.9799333718575823
