issue_date,model,member,event_start,event_end,event_total_mm,imd_climatology_mm,imd_observed_mm
2026-06-01,ECMWF S2S,32,2026-07-01,2026-07-07,85.322554597426,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,33,2026-07-01,2026-07-07,60.455208400481155,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,34,2026-07-01,2026-07-07,65.5298524809381,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,35,2026-07-01,2026-07-07,54.2412286011365,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,36,2026-07-01,2026-07-07,76.99540319162935,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,37,2026-07-01,2026-07-07,33.537001199492025,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,38,2026-07-01,2026-07-07,74.40730434247587,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,39,2026-07-01,2026-07-07,78.26177674026803,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,40,2026-07-01,2026-07-07,96.82072508640971,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,41,2026-07-01,2026-07-07,49.02845365064016,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,42,2026-07-01,2026-07-07,96.20136867979991,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,43,2026-07-01,2026-07-07,86.34119531815597,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,44,2026-07-01,2026-07-07,63.24955641776094,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,45,2026-07-01,2026-07-07,47.389239268859285,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,46,2026-07-01,2026-07-07,55.46953234097589,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,47,2026-07-01,2026-07-07,88.63695932330401,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,48,2026-07-01,2026-07-07,102.53528289872062,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,49,2026-07-01,2026-07-07,48.76535902391248,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,50,2026-07-01,2026-07-07,58.709582951808045,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,1,2026-07-01,2026-07-07,69.24263763427734,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,2,2026-07-01,2026-07-07,71.75923919677734,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,3,2026-07-01,2026-07-07,69.99382781982422,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,4,2026-07-01,2026-07-07,65.57221984863281,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,5,2026-07-01,2026-07-07,64.90177154541016,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,6,2026-07-01,2026-07-07,68.97554016113281,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,7,2026-07-01,2026-07-07,65.49832153320312,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,8,2026-07-01,2026-07-07,66.8292007446289,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,9,2026-07-01,2026-07-07,60.65236282348633,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,10,2026-07-01,2026-07-07,74.99411010742188,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,11,2026-07-01,2026-07-07,64.99646759033203,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,12,2026-07-01,2026-07-07,71.69158172607422,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,13,2026-07-01,2026-07-07,69.91614532470703,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,14,2026-07-01,2026-07-07,63.85776901245117,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,15,2026-07-01,2026-07-07,67.76343536376953,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,16,2026-07-01,2026-07-07,63.051544189453125,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,17,2026-07-01,2026-07-07,63.35566711425781,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,18,2026-07-01,2026-07-07,67.16687774658203,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,19,2026-07-01,2026-07-07,72.40945434570312,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,20,2026-07-01,2026-07-07,65.37747192382812,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,21,2026-07-01,2026-07-07,68.44583129882812,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,22,2026-07-01,2026-07-07,67.82456970214844,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,23,2026-07-01,2026-07-07,69.07814025878906,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,24,2026-07-01,2026-07-07,66.17996215820312,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,25,2026-07-01,2026-07-07,64.8626708984375,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,26,2026-07-01,2026-07-07,67.25907897949219,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,27,2026-07-01,2026-07-07,67.96498107910156,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,28,2026-07-01,2026-07-07,66.53296661376953,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,29,2026-07-01,2026-07-07,67.37882232666016,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,30,2026-07-01,2026-07-07,70.153564453125,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,31,2026-07-01,2026-07-07,63.887062072753906,50.88131332397461,71.09912836317147
2026-06-23,FuXi-S2S,32,2026-07-01,2026-07-07,67.48536682128906,50.88131332397461,71.09912836317147
