variable,region,week,init_date,model,crps,crps_clim,crpss,rmse,spread,ssr
TP,northwest_india,Week 5,2026-01-01,SPIRE,0.9778919026022941,0.8396894183256881,-0.16458762163774443,1.6714427559477758,3.158222003383568,1.8895184966072787
TP,central_india,Week 5,2026-01-01,SPIRE,0.527576335505271,0.24887316408016846,-1.119860280859069,0.679988516438688,1.9075349778947666,2.805245870746645
TP,south_peninsula,Week 5,2026-01-01,SPIRE,0.48914620087629934,0.4136095384046845,-0.18262795090017514,0.5521955372716022,1.85158439041966,3.353131753958638
TP,east_northeast_india,Week 5,2026-01-01,SPIRE,0.8064739307366889,2.146115476192773,0.6242168980732665,1.3961902464738711,2.558699498889865,1.832629546977536
TP,All India,Week 6,2026-01-01,SPIRE,0.6302891326966887,0.7258627365452962,0.1316689768419368,1.21091462580346,2.0817213183862755,1.7191313689889758
TP,northwest_india,Week 6,2026-01-01,SPIRE,0.9339754195327465,0.7867677538242012,-0.18710434558739952,1.7002413357808244,3.0246260663523437,1.7789392615627149
TP,central_india,Week 6,2026-01-01,SPIRE,0.43425278393486666,0.21624020419868387,-1.0081963275241383,0.6061861357604917,1.521483236942353,2.5099274747245315
TP,south_peninsula,Week 6,2026-01-01,SPIRE,0.333543096471739,0.416995123554778,0.2001271054961784,0.4634238732477576,1.2110364567273206,2.6132370959660753
TP,east_northeast_india,Week 6,2026-01-01,SPIRE,0.7842416374895356,2.1417595074259936,0.6338330075013643,1.5567536474082588,2.3860016464921294,1.5326777300084913
TP,All India,Week 1,2026-01-08,SPIRE,0.23312075256083098,0.9081541442463744,0.7433026606355635,1.462657162971276,0.32090466439471516,0.2193984157865278
TP,northwest_india,Week 1,2026-01-08,SPIRE,0.07515419746428775,0.7838251901206427,0.9041186754246564,0.24428437226469718,0.11081599237205195,0.45363520942705243
TP,central_india,Week 1,2026-01-08,SPIRE,0.04911032903423696,0.21507911235834629,0.7716638845318761,0.08317820225009297,0.12072231620276654,1.4513696249383847
TP,south_peninsula,Week 1,2026-01-08,SPIRE,0.9577570580016117,1.3126634299141042,0.27037118870274024,3.3744997899160505,1.1756496167315509,0.3483922625346491
TP,east_northeast_india,Week 1,2026-01-08,SPIRE,0.09689803398835319,2.2601200902688245,0.9571270418746519,0.2159293055446888,0.17357213355513826,0.8038377797645244
TP,All India,Week 2,2026-01-08,SPIRE,0.346604583325243,0.7423688529518869,0.5331100140488969,0.8924641145372169,0.9778488367498378,1.0956730033418731
TP,northwest_india,Week 2,2026-01-08,SPIRE,0.6347526435246122,0.8107850069877364,0.21711349117952639,1.4673719357866528,1.6034238028364634,1.0927180517302681
TP,central_india,Week 2,2026-01-08,SPIRE,0.21029390062773076,0.215967756589073,0.026271773393182984,0.30901453800987233,0.7512487211358753,2.431111254422193
TP,south_peninsula,Week 2,2026-01-08,SPIRE,0.1300419415911774,0.4058960304215757,0.6796176068632355,0.31152043501871934,0.35167011624697764,1.1288829775351517
