variable,region,week,init_date,model,pcc,rmse,bias,fcst_std,obs_std,fcst_mean,obs_mean
TP,central_india,Week 1,2026-01-01,SPIRE,0.9672310682247961,0.11675312547301236,0.10686972866008268,0.18461770424108262,0.17496521493291742,0.10775849755718116,0.0008887688970984893
Z500,central_india,Week 1,2026-01-01,SPIRE,0.8630070734461,26.24806064635972,26.131214622562794,2.9252378999107775,4.508536928271149,5818.984807364883,5792.853592742321
TP,central_india,Week 1,2026-01-01,FuXi,0.9999161472816174,0.0026181722142524597,0.00036977765845727217,0.1762092604491814,0.17496521493291742,0.0012585465555557615,0.0008887688970984893
Z500,central_india,Week 1,2026-01-01,FuXi,0.5485637923197183,12.07448421246001,11.26981039336544,4.6120177211117195,4.508536928271149,5804.123403135686,5792.853592742321
TP,central_india,Week 1,2026-01-01,ECMWF,0.989512621950689,0.035147959657904314,0.02205335503982168,0.1836326210018618,0.17496521493291742,0.022942123936920165,0.0008887688970984893
Z500,central_india,Week 1,2026-01-01,ECMWF,0.8582332532777223,22.088904914443376,21.844815020345646,1.5522779396243596,4.508536928271149,5814.698407762668,5792.853592742321
TP,central_india,Week 1,2026-01-01,NCEP,0.9968198915397317,0.015949670794760746,0.007734104280558925,0.17398336208152745,0.17496521493291742,0.008622873177657414,0.0008887688970984893
Z500,central_india,Week 1,2026-01-01,NCEP,0.8896940946973543,4.1648343250072175,3.581917899553493,4.539119417019971,4.508536928271149,5796.435510641873,5792.853592742321
TP,central_india,Week 1,2026-01-01,MME,0.9956349891478333,0.03816550406384439,0.034256741409730146,0.1782529100149093,0.17496521493291742,0.03514551030682863,0.0008887688970984893
Z500,central_india,Week 1,2026-01-01,MME,0.8871494731043269,15.879690720505218,15.70693948395679,2.9378170007131663,4.508536928271149,5808.560532226277,5792.853592742321
TP,central_india,Week 1,2026-01-01,Persistence,0.9999315320131975,0.0025087913855845116,-0.0007414854196131408,0.1761991808028563,0.17496521493291742,0.00014728347748534844,0.0008887688970984893
Z500,central_india,Week 1,2026-01-01,Persistence,-0.7389430640505427,53.929695332002275,52.97496308567635,6.303677992429888,4.508536928271149,5845.828555827997,5792.853592742321
